year,coa_name,refugees
2018,Kenya,18115
2018,South Africa,17726
2018,United States of America,9635
2019,Kenya,19552
2019,South Africa,15990
2019,United States of America,9079
2020,Sudan,62498
2020,Kenya,20442
2020,South Africa,15629
2021,Sudan,56806
2021,Kenya,20647
2021,South Africa,15284
2022,Sudan,55455
2022,Kenya,21620
2022,South Africa,13002
2023,Sudan,54040
2023,Kenya,22638
2023,South Africa,13400
2024,Sudan,49547
2024,Kenya,26987
2024,South Africa,14157
