event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2019-03-15,2019,Violence against civilians,Attack,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction),Civilians (Sudan),Sudan,Central Darfur,"Between January 17th and March 26th, two rival SLM/A-al Nur factions attacked Fur civilians in the area of Daya (Central Darfur), killing 5, wounding 5, and abducting 15. It is not clear which factions are responsible for the specific deaths. Three events coded at time prec3, with fatalities distributed across events. Two events coded with regular SLM/A-al Nur rebels as actor1, one with splinter faction as actor1.",1,2019-Q1
2019-03-26,2019,Battles,Armed clash,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction) (Splinter Faction),SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction),Sudan,Central Darfur,"Between January 17th and March 26th, internal fighting within the SLM/A-Nur rebel group (over the plans of one faction to sign a peace accord with the government) killed 22 and wounded 9 fighters associated with the faction intending the sign the agreement (headed by Mubarak Aldouk, and coded as splinter faction) and killed 20 and wounded 15 fighters in the group headed by Salih Borsa (coded as regular SLM/A-Nur). The events took place in the area of Daya (Central Darfur). Six events coded (four at time prec3, two at time prec1), with fatalities distributed across events).",7,2019-Q1
2019-08-07,2019,Protests,Peaceful protest,Protesters (Sudan),,Sudan,Kassala,"On or around August 7th, pastoralists demonstrated in Kassala (Kassala state) against the encroachment on pasture lands by farmers.",0,2019-Q3
2018-01-05,2018,Violence against civilians,Abduction/forced disappearance,Unidentified Communal Militia (Sudan),Civilians (Sudan),Sudan,North Darfur,Three armed herders attacked a group of four women collecting firewood in Tawila locality in North Darfur. One was abducted while the three others managed to flee.,0,2018-Q1
2018-01-05,2018,Protests,Peaceful protest,Protesters (Sudan),,Sudan,Kassala,Dozens of demonstrators gathered spontaneously in front of the vegetable market in Halfa El Jadida in Kassala after Friday prayers to protest the increased consumer prices following the implementation of new budget measures.,0,2018-Q1
2018-06-15,2018,Battles,Armed clash,Kenana Ethnic Militia (Sudan),Kenana Ethnic Militia (Sudan),Sudan,South Kordofan,"Over 14-16 June, conflict between members of the Kenana tribe occurred in El Jangur and Fatatat villages (both villages are in Abu Jubaiha locality, South Kordofan). The fighting involved firearms and blades. Across three days of fighting, a witness reported that 2 killed (on 15 June), 43 people were injured, 12 critically. On the third day, the state security forces intervened, arresting dozens, and conducting a disarmament exercise later on, on 21st June.",1,2018-Q2
2018-01-05,2018,Protests,Peaceful protest,Protesters (Sudan),,Sudan,Sennar,Protests in Sennar over increased consumer prices following the implementation of new budget measures.,0,2018-Q1
2018-03-28,2018,Riots,Mob violence,NCP: National Congress Party,Rioters (Sudan),Sudan,White Nile,"On 28 and 29 March, students of El Imam Mahdi University in El Gezira Aba, White Nile, clashed. The fighting started, when militant student members of the National Congress Party (NCP) attacked the students listening to a speech of student Amir Daoud on the poor conditions in student dorms. One student was injured and three others were detained.",0,2018-Q1
2018-01-10,2018,Violence against civilians,Attack,Unidentified Communal Militia (Sudan),Civilians (Sudan),Sudan,North Darfur,Armed herders killed a factory worker in Dulu west of Tawila in North Darfur. Armed herders have threatened to beat or kill anyone who comes to this area to collect wood or go farming. Similar attacks occurred the week before in the Tawila area.,1,2018-Q1
2018-06-15,2018,Battles,Armed clash,Kenana Ethnic Militia (Sudan),Kenana Ethnic Militia (Sudan),Sudan,South Kordofan,"Over 14-16 June, conflict between members of the Kenana tribe occurred in El Jangur and Fatatat villages (both villages are in Abu Jubaiha locality, South Kordofan). The fighting involved firearms and blades. Across three days of fighting, a witness reported that 2 killed (on 15 June), 43 people were injured, 12 critically. On the third day, the state security forces intervened, arresting dozens, and conducting a disarmament exercise later on, on 21st June.",1,2018-Q2
