da,a,tipo,periodo,peso,categoria,titolo,fonte
RUS,UKR,cyber,2023-Q1,,Disruption;Hijacking with Misuse,Russian state-sponsored hacker group Sandworm sought to sabotage the Ukrainian National News Agency Ukrinform using CaddyWiper on 17 January 2023,eurepoc
RUS,UKR,cyber,2022-Q3,,Hijacking without Misuse,Unspecified Russian hackers gained limited access to Ukraine's Delta military software in August 2022,eurepoc
RUS,UKR,cyber,2021-Q4,,Data theft;Hijacking with Misuse,"UNC4210, a suspected cluster of Russian APT Turla, targeted Ukrainian organizations with ANDROMEDA malware starting in December 2021",eurepoc
RUS,UKR,cyber,2022-Q2,,Data theft & Doxing;Disruption,City council of Ukrainian city Lviv is attacked in May 2022 and data was stolen and published,eurepoc
RUS,UKR,cyber,2021-Q4,,Data theft;Hijacking with Misuse,Russian state-sponsored hacking group ACTINIUM / Gamaredon targeted various organizations in Ukraine beginning in October 2021,eurepoc
RUS,UKR,cyber,2022-Q3,,Disruption,Ukrainian nuclear power company Energoatom targeted in a DDoS attack by Russian hacktivists on 16 August 2022,eurepoc
RUS,UKR,cyber,2022-Q2,,Hijacking without Misuse,Conti related group UAC-0098 targeted Ukrainian critical infrastructure since April 2022 with AnchorMail backdoor,eurepoc
RUS,UKR,cyber,2022-Q4,,Data theft;Disruption;Hijacking with Misuse;Ransomware,"Pro-Russian hacktivist group disrupted multiple organizations in Ukraine with ""Somnia"" ransomware on 11 November 2022",eurepoc
RUS,UKR,cyber,2022-Q1,,Disruption;Hijacking without Misuse;Hijacking with Misuse,Russian military intelligence service GRU compromised the routers of a Ukrainian organization in Spring 2022 following a wiper attack in February,eurepoc
RUS,UKR,cyber,2021-Q1,,Disruption;Hijacking without Misuse;Hijacking with Misuse,Russian military intelligence service GRU exploited stolen credentials to gain access to the Zimbra email server of a Ukrainian organization in June 2021 after a wiper attack in February,eurepoc
RUS,UKR,cyber,2021-Q2,,Disruption;Hijacking with Misuse,Russian military intelligence service GRU compromised a firewall and carried out wiper attacks against a Ukrainian target beginning in April 2021,eurepoc
RUS,UKR,cyber,2022-Q1,,Disruption;Hijacking with Misuse;Ransomware,Russian state-sponsored hacking group IRIDIUM used new Prestige ransomware to attack transport and logistics companies in Ukraine and Poland beginning in March 2022,eurepoc
RUS,UKR,cyber,2022-Q1,,Disruption;Hijacking with Misuse,Russian military intelligence service GRU exploited Microsoft Exchange vulnerability to gain access and wipe a Ukrainian target in 2022,eurepoc
RUS,UKR,cyber,2022-Q1,,Hijacking without Misuse,Russian Turla APT Group sets up fake DDoS application in order to install malware on pro-Ukrainian hacktivist devices in 2022,eurepoc
RUS,UKR,cyber,2022-Q1,,Data theft & Doxing,Project Nemesis: Mass doxxing of Ukrainian military and intelligence personnel information by Pro-Russian group RaHDit in May 2022,eurepoc
RUS,UKR,cyber,2022-Q1,,Disruption,Several Ukrainian government institutions as well as some banks were attacked by (amongst others) pro-Russian hacktivists through a DDoS attack on 23 February 2022,eurepoc
RUS,UKR,cyber,2022-Q1,,Disruption;Hijacking without Misuse,"Several hours before the Russian invasion in February 2022, IRIDIUM attacked more than a dozen organizations in Ukraine using FoxBlade malware",eurepoc
RUS,UKR,cyber,2021-Q3,,Hijacking without Misuse,Shuckworm / Gamaredon attacked an organization in Ukraine with seven self-extracting 7-Zip SFX binaries between July and August 2021,eurepoc
