da,a,tipo,periodo,peso,categoria,titolo,fonte
CHN,HKG,cyber,2021-Q1,,Hijacking without Misuse,Chinese state-sponsored hacking group 'RedHotel' compromised a variety of targets across 17 countries beginning in 2021,eurepoc
CHN,HKG,cyber,2022-Q4,,Data theft;Hijacking with Misuse,Suspected Chinese threat actor UNC4841 exploited zero-day vulnerability in Barracuda Email Security Gateway to conduct espionage against victim organisations in at least 16 countries since 10 October 2022,eurepoc
CHN,HKG,cyber,2021-Q1,,Data theft;Hijacking without Misuse,Chinese state-sponsored Winnti Group targets Hong Kong government organizations in espionage effort starting in 2021,eurepoc
CHN,HKG,cyber,2021-Q1,,Hijacking without Misuse,Hacker group SparklingGoblin compromised multiple servers of a Hong Kong University since February 2021,eurepoc
CHN,HKG,cyber,2019-Q1,,Data theft,Winnti vs. Hongkong Universities,eurepoc
CHN,HKG,cyber,2019-Q1,,Data theft;Hijacking with Misuse,Thrip attacks continue,eurepoc
CHN,HKG,cyber,2019-Q2,,Disruption,Telegram DDOS,eurepoc
CHN,HKG,cyber,2019-Q1,,Data theft,Amnesty Hongkong Hack,eurepoc
CHN,HKG,cyber,,,Espionage,Targeting of organizations using Barracuda email security gateway devices,cfr
CHN,HKG,cyber,,,Espionage,Red Menshen,cfr
CHN,HKG,cyber,,,Espionage,"Targeting of telecommunications providers across the United States, Asia, and the Middle East",cfr
CHN,HKG,cyber,,,Espionage,Targeting of telecommunications companies’ employees,cfr
CHN,HKG,cyber,,,Espionage,APT 41,cfr
CHN,HKG,cyber,2018-Q2,,Espionage,Winnti Umbrella,cfr
CHN,HKG,cyber,2017-Q4,,Espionage,APT 40,cfr
CHN,HKG,cyber,2015-Q2,,Espionage,APT 3,cfr
CHN,HKG,cyber,2013-Q4,,Espionage,admin@338,cfr
CHN,HKG,cyber,2011-Q4,,Espionage,Nitro attacks,cfr
CHN,HKG,cyber,2011-Q3,,Espionage,Shady RAT,cfr
CHN,HKG,cyber,,,Espionage,Targeting of companies in Hong Kong,cfr
CHN,HKG,cyber,,,Espionage,"Targeting of civil society groups in Nepal, the Philippines, Taiwan, and Hong Kong",cfr
CHN,HKG,cyber,,,Espionage,Targeting of Hong Kong citizens with mobile malware,cfr
CHN,HKG,cyber,,,Espionage,Infection of computer systems belonging to universities in Hong Kong,cfr
CHN,HKG,cyber,,,Denial of service,Attack on forum of Hong Kong protesters,cfr
CHN,HKG,cyber,2014-Q3,,Espionage,Fake Occupy Central apps,cfr
CHN,HKG,cyber,2014-Q3,,Espionage,Lotus Blossom,cfr
CHN,LAO,cyber,2023-Q4,,Data theft;Hijacking with Misuse,"Chinese State Sponsored Group RedJuliett aka Flax Typhoon Group Compromised 24 organisations in Taiwan, Laos, Kenya, and Rwanda between November 2023 to April 2024",eurepoc
CHN,LAO,cyber,2021-Q1,,Hijacking without Misuse,Chinese state-sponsored hacking group 'RedHotel' compromised a variety of targets across 17 countries beginning in 2021,eurepoc
CHN,LAO,cyber,2021-Q2,,Hijacking without Misuse,Chinese Espionage Campaign: Laos,eurepoc
CHN,LAO,cyber,,,Espionage,Aoqin Dragon,cfr
CHN,KEN,cyber,2023-Q4,,Data theft;Hijacking with Misuse,"Chinese State Sponsored Group RedJuliett aka Flax Typhoon Group Compromised 24 organisations in Taiwan, Laos, Kenya, and Rwanda between November 2023 to April 2024",eurepoc
CHN,KEN,cyber,2022-Q1,,Data theft;Hijacking with Misuse,China-linked hacker group 'UNC53' gained access to systems of 29 organizations worldwide since the beginning of 2022,eurepoc
CHN,KEN,cyber,2022-Q4,,Data theft;Hijacking with Misuse,Suspected Chinese threat actor UNC4841 exploited zero-day vulnerability in Barracuda Email Security Gateway to conduct espionage against victim organisations in at least 16 countries since 10 October 2022,eurepoc
CHN,KEN,cyber,2019-Q1,,Data theft;Hijacking without Misuse,Chinese threat actor BackdoorDiplomacy allegedly hacked Kenyan government targets during 2019 and 2023,eurepoc
CHN,KEN,cyber,2018-Q3,,Espionage,Targeting of organizations associated with trade activity with China,cfr
CHN,KEN,cyber,,,Espionage,Targeting of Kenyan government,cfr
CHN,RWA,cyber,2023-Q4,,Data theft;Hijacking with Misuse,"Chinese State Sponsored Group RedJuliett aka Flax Typhoon Group Compromised 24 organisations in Taiwan, Laos, Kenya, and Rwanda between November 2023 to April 2024",eurepoc
CHN,DJI,cyber,2023-Q4,,Data theft;Hijacking with Misuse,"Chinese State Sponsored Group RedJuliett aka Flax Typhoon Group Compromised 24 organisations in Taiwan, Laos, Kenya, and Rwanda between November 2023 to April 2024",eurepoc
CHN,GBR,cyber,2024-Q2,,Data theft;Hijacking with Misuse,"Likely China-linked hackers access payroll data from UK Ministry of Defence through intrusion into external contractor, April 2024",eurepoc
CHN,GBR,cyber,2023-Q4,,Hijacking without Misuse,"China-based threat actor UNC5174 facilitated compromise of organisations across Hong Kong, Southeast Asia, UK, and US beginning in late October 2023",eurepoc
CHN,GBR,cyber,2022-Q1,,Data theft;Hijacking with Misuse,Chinese APT Earth Krahang breached 70 organizations in 23 countries since at least 2022,eurepoc
CHN,GBR,cyber,2021-Q3,,Data theft;Hijacking with Misuse,Chinese state-affiliated actors gained access to UK Electoral Commission and personal election data between 2021 and 2022,eurepoc
CHN,GBR,cyber,2022-Q4,,Data theft;Hijacking with Misuse,Suspected Chinese threat actor UNC4841 exploited zero-day vulnerability in Barracuda Email Security Gateway to conduct espionage against victim organisations in at least 16 countries since 10 October 2022,eurepoc
CHN,GBR,cyber,2018-Q3,,Data theft;Hijacking with Misuse,TEMP. Periscope aka APT 40 aka Leviathan targeted UK-based engineering company,eurepoc
CHN,GBR,cyber,,,Espionage,"Targeting of organizations in Asia, Europe, and North America",cfr
CHN,GBR,cyber,,,Espionage,Targeting of journalists at News Corp,cfr
CHN,GBR,cyber,,,Espionage,Targeting of over seventy-five organizations,cfr
CHN,GBR,cyber,,,Espionage,APT 41,cfr
CHN,GBR,cyber,2018-Q2,,Espionage,Winnti Umbrella,cfr
CHN,GBR,cyber,2017-Q2,,Espionage,APT 10,cfr
CHN,GBR,cyber,2015-Q3,,Espionage,Emissary Panda,cfr
CHN,GBR,cyber,2015-Q2,,Espionage,APT 3,cfr
CHN,GBR,cyber,2013-Q1,,Espionage,Anchor Panda,cfr
CHN,GBR,cyber,2013-Q1,,Espionage,PLA Unit 61398,cfr
CHN,GBR,cyber,2012-Q2,,Espionage,SabPub,cfr
CHN,GBR,cyber,2011-Q4,,Espionage,Nitro attacks,cfr
CHN,GBR,cyber,2011-Q3,,Espionage,Shady RAT,cfr
CHN,GBR,cyber,2005-Q3,,Espionage,Titan Rain,cfr
CHN,GBR,cyber,,,Espionage,Targeting of government agencies across Eastern Europe,cfr
CHN,GBR,migrazione,2018,1465,,,
CHN,GBR,migrazione,2019,1389,,,
CHN,GBR,migrazione,2020,1286,,,
CHN,GBR,migrazione,2021,1026,,,
CHN,GBR,migrazione,2022,928,,,
CHN,GBR,migrazione,2023,1050,,,
CHN,GBR,migrazione,2024,1081,,,
CHN,BEL,cyber,2021-Q1,,Hijacking without Misuse,Chinese threat actor APT31 suspected of targeting Belgian MPs in 2021 by compromising their email systems,eurepoc
CHN,BEL,cyber,2022-Q4,,Data theft;Hijacking with Misuse,Suspected Chinese threat actor UNC4841 exploited zero-day vulnerability in Barracuda Email Security Gateway to conduct espionage against victim organisations in at least 16 countries since 10 October 2022,eurepoc
CHN,BEL,cyber,2018-Q1,,Data theft;Hijacking with Misuse,Chinese Ministry of State Security campaign,eurepoc
CHN,BEL,cyber,2013-Q1,,Espionage,PLA Unit 61398,cfr
CHN,BEL,cyber,,,Espionage,Targeting of the Belgian Federal Public Service Interior as part of espionage campaign,cfr
CHN,BEL,cyber,,,Espionage,Targeting of Belgian member of Parliament,cfr
CHN,BEL,cyber,,,Espionage,Targeting of the Belgian Federal Public Service Interior by Chinese threat actors,cfr
CHN,BEL,cyber,,,Espionage,Targeting of the Belgian Federal Public Service Interior in Chinese espionage campaign,cfr
CHN,BEL,cyber,,,Espionage,Targeting of Belgian Defense Ministry,cfr
CHN,BEL,cyber,2019-Q2,,Espionage,Chinese intelligence repurposed NSA tools to attack private companies,cfr
CHN,BEL,migrazione,2018,1197,,,
CHN,BEL,migrazione,2019,1283,,,
CHN,BEL,migrazione,2020,1151,,,
CHN,BEL,migrazione,2021,1206,,,
CHN,BEL,migrazione,2022,1068,,,
CHN,BEL,migrazione,2023,1006,,,
CHN,BEL,migrazione,2024,831,,,
CHN,NZL,cyber,2021-Q3,,Data theft;Hijacking with Misuse,Chinese State-Sponsored Hacking Group APT40 attacked New Zealand’s Parliament in 2021,eurepoc
CHN,NZL,cyber,2017-Q2,,Espionage,APT 10,cfr
CHN,NZL,migrazione,2018,192,,,
CHN,NZL,migrazione,2019,228,,,
CHN,NZL,migrazione,2020,238,,,
CHN,NZL,migrazione,2021,255,,,
CHN,NZL,migrazione,2022,271,,,
CHN,NZL,migrazione,2023,296,,,
CHN,NZL,migrazione,2024,388,,,
CHN,BRN,cyber,2022-Q1,,Data theft;Hijacking with Misuse,Chinese APT Earth Krahang breached 70 organizations in 23 countries since at least 2022,eurepoc
CHN,BRN,cyber,2019-Q1,,Data theft;Disruption;Hijacking with Misuse,Naikon Reloaded,eurepoc
CHN,BRN,cyber,,,Espionage,Targeting of government bodies in Australia and Southeast Asia,cfr
CHN,IDN,cyber,2022-Q1,,Data theft;Hijacking with Misuse,Chinese APT Earth Krahang breached 70 organizations in 23 countries since at least 2022,eurepoc
CHN,IDN,cyber,2022-Q4,,Data theft;Hijacking with Misuse,Suspected Chinese threat actor UNC4841 exploited zero-day vulnerability in Barracuda Email Security Gateway to conduct espionage against victim organisations in at least 16 countries since 10 October 2022,eurepoc
CHN,IDN,cyber,2021-Q3,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group Earth Longzhi gained access to high-profile victims of various sectors in several countries beginning in mid-2021,eurepoc
CHN,IDN,cyber,2021-Q1,,Hijacking without Misuse,Chinese Hackers Targeted Southeast Asian Nations,eurepoc
CHN,IDN,cyber,2021-Q1,,Hijacking without Misuse,Mustang Panda vs. Indonesian government agencies,eurepoc
CHN,IDN,cyber,2019-Q1,,Data theft;Disruption;Hijacking with Misuse,Naikon Reloaded,eurepoc
CHN,IDN,cyber,2019-Q1,,Data theft;Hijacking with Misuse,Thrip attacks continue,eurepoc
CHN,IDN,cyber,2015-Q2,,Espionage,Hellsing,cfr
CHN,IDN,cyber,2015-Q2,,Espionage,APT 30,cfr
CHN,IDN,cyber,2011-Q3,,Espionage,Shady RAT,cfr
CHN,IDN,cyber,,,Espionage,Aoqin Dragon,cfr
CHN,IDN,cyber,,,Espionage,Calypso,cfr
CHN,IDN,cyber,,,Espionage,Targeting of Indonesian intelligence agencies,cfr
CHN,IDN,cyber,,,Espionage,Targeting of government bodies in Australia and Southeast Asia,cfr
CHN,IDN,cyber,,,Espionage,Attacks in East and Southeast Asia,cfr
CHN,IDN,cyber,2014-Q3,,Espionage,Lotus Blossom,cfr
CHN,IDN,migrazione,2018,12,,,
CHN,IDN,migrazione,2019,12,,,
CHN,IDN,migrazione,2020,11,,,
CHN,IDN,migrazione,2021,11,,,
CHN,IDN,migrazione,2022,10,,,
CHN,IDN,migrazione,2023,7,,,
CHN,IDN,migrazione,2024,7,,,
CHN,MYS,cyber,2022-Q1,,Data theft;Hijacking with Misuse,Chinese APT Earth Krahang breached 70 organizations in 23 countries since at least 2022,eurepoc
CHN,MYS,cyber,2021-Q1,,Hijacking without Misuse,Chinese state-sponsored hacking group 'RedHotel' compromised a variety of targets across 17 countries beginning in 2021,eurepoc
CHN,MYS,cyber,2022-Q4,,Data theft;Hijacking with Misuse,Suspected Chinese threat actor UNC4841 exploited zero-day vulnerability in Barracuda Email Security Gateway to conduct espionage against victim organisations in at least 16 countries since 10 October 2022,eurepoc
CHN,MYS,cyber,2021-Q3,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group Earth Longzhi gained access to high-profile victims of various sectors in several countries beginning in mid-2021,eurepoc
CHN,MYS,cyber,2021-Q1,,Data theft;Hijacking with Misuse,ColunmTK (Supply Chain),eurepoc
CHN,MYS,cyber,2021-Q1,,Hijacking without Misuse,Chinese Hackers Targeted Southeast Asian Nations,eurepoc
CHN,MYS,cyber,2019-Q1,,Data theft;Hijacking with Misuse,Thrip attacks continue,eurepoc
CHN,MYS,cyber,2019-Q1,,Data theft,Chinese Attack against telecommunication providers,eurepoc
CHN,MYS,cyber,2018-Q4,,Data theft;Hijacking with Misuse,FunnyDream,eurepoc
CHN,MYS,cyber,,,Espionage,Targeting of over seventy-five organizations,cfr
CHN,MYS,cyber,2017-Q4,,Espionage,APT 40,cfr
CHN,MYS,cyber,2015-Q2,,Espionage,Hellsing,cfr
CHN,MYS,cyber,2015-Q2,,Espionage,APT 30,cfr
CHN,MYS,cyber,,,Espionage,"Targeting of Australian, Malaysian, and European organizations and organizations operating in and around the South China Sea.",cfr
CHN,MYS,cyber,,,Espionage,"Targeting of entities in India, Kazakhstan, Kyrgyzstan, Malaysia, Russia, and Ukraine",cfr
CHN,MYS,cyber,,,Espionage,Targeting of Malaysian government officials,cfr
CHN,MYS,cyber,,,Espionage,Targeting of telecommunications operators in countries through which Uighurs are known to travel,cfr
CHN,MYS,cyber,2014-Q3,,Espionage,Lotus Blossom,cfr
CHN,MYS,migrazione,2018,27,,,
CHN,MYS,migrazione,2019,44,,,
CHN,MYS,migrazione,2020,44,,,
CHN,MYS,migrazione,2021,46,,,
CHN,MYS,migrazione,2022,38,,,
CHN,MYS,migrazione,2023,20,,,
CHN,MYS,migrazione,2024,16,,,
CHN,UZB,cyber,2022-Q1,,Data theft;Hijacking with Misuse,Chinese APT Earth Krahang breached 70 organizations in 23 countries since at least 2022,eurepoc
CHN,UZB,cyber,,,Espionage,IndigoZebra,cfr
CHN,UZB,cyber,,,Espionage,Targeting of major companies and government organizations in seven countries,cfr
CHN,UZB,cyber,,,Espionage,RedFoxTrot,cfr
CHN,KGZ,cyber,2022-Q1,,Data theft;Hijacking with Misuse,Chinese APT Earth Krahang breached 70 organizations in 23 countries since at least 2022,eurepoc
CHN,KGZ,cyber,,,Espionage,IndigoZebra,cfr
CHN,KGZ,cyber,,,Espionage,Targeting of major companies and government organizations in seven countries,cfr
CHN,KGZ,cyber,,,Espionage,RedFoxTrot,cfr
CHN,JOR,cyber,2022-Q1,,Data theft;Hijacking with Misuse,Chinese APT Earth Krahang breached 70 organizations in 23 countries since at least 2022,eurepoc
CHN,MEX,cyber,2022-Q1,,Data theft;Hijacking with Misuse,Chinese APT Earth Krahang breached 70 organizations in 23 countries since at least 2022,eurepoc
CHN,MEX,cyber,2022-Q4,,Data theft;Hijacking with Misuse,Suspected Chinese threat actor UNC4841 exploited zero-day vulnerability in Barracuda Email Security Gateway to conduct espionage against victim organisations in at least 16 countries since 10 October 2022,eurepoc
CHN,MEX,cyber,2021-Q1,,Data theft;Hijacking with Misuse,Grayfly campaign,eurepoc
CHN,MEX,cyber,,,Espionage,Targeting of over seventy-five organizations,cfr
CHN,MEX,migrazione,2018,5,,,
CHN,MEX,migrazione,2019,5,,,
CHN,MEX,migrazione,2020,5,,,
CHN,MEX,migrazione,2021,5,,,
CHN,MEX,migrazione,2022,5,,,
CHN,EGY,cyber,2022-Q1,,Data theft;Hijacking with Misuse,Chinese APT Earth Krahang breached 70 organizations in 23 countries since at least 2022,eurepoc
CHN,EGY,cyber,2022-Q1,,Data theft;Hijacking with Misuse,China-linked hacker group 'UNC53' gained access to systems of 29 organizations worldwide since the beginning of 2022,eurepoc
CHN,EGY,cyber,2022-Q4,,Data theft;Hijacking with Misuse,Suspected Chinese threat actor UNC4841 exploited zero-day vulnerability in Barracuda Email Security Gateway to conduct espionage against victim organisations in at least 16 countries since 10 October 2022,eurepoc
CHN,EGY,migrazione,2024,11,,,
CHN,BRA,cyber,2022-Q1,,Data theft;Hijacking with Misuse,Chinese APT Earth Krahang breached 70 organizations in 23 countries since at least 2022,eurepoc
CHN,BRA,cyber,2022-Q3,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group GREF spied on unspecified Android users using malicious Signal plus Messenger app beginning in June 2022,eurepoc
CHN,BRA,cyber,2020-Q2,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group GREF accessed backup data of unspecified Android users and exfiltrated unspecified data through malicious FlyGram app beginning in June 2020,eurepoc
CHN,BRA,cyber,2022-Q4,,Data theft;Hijacking with Misuse,Suspected Chinese threat actor UNC4841 exploited zero-day vulnerability in Barracuda Email Security Gateway to conduct espionage against victim organisations in at least 16 countries since 10 October 2022,eurepoc
CHN,BRA,cyber,2021-Q2,,Data theft;Disruption;Hijacking with Misuse;Ransomware,Chinese APT Group BRONZE STARLIGHT using ransomware to mask IP theft since mid-2021,eurepoc
CHN,BRA,cyber,2018-Q3,,Espionage,Targeting of organizations associated with trade activity with China,cfr
CHN,BRA,cyber,2017-Q2,,Espionage,APT 10,cfr
CHN,BRA,cyber,,,Espionage,Calypso,cfr
CHN,BRA,migrazione,2018,7,,,
CHN,BRA,migrazione,2019,9,,,
CHN,BRA,migrazione,2020,11,,,
CHN,BRA,migrazione,2021,23,,,
CHN,BRA,migrazione,2022,24,,,
CHN,BRA,migrazione,2023,38,,,
CHN,BRA,migrazione,2024,43,,,
CHN,PAK,cyber,2022-Q1,,Data theft;Hijacking with Misuse,Chinese APT Earth Krahang breached 70 organizations in 23 countries since at least 2022,eurepoc
CHN,PAK,cyber,2021-Q1,,Hijacking without Misuse,Chinese state-sponsored hacking group 'RedHotel' compromised a variety of targets across 17 countries beginning in 2021,eurepoc
CHN,PAK,cyber,2022-Q4,,Data theft;Hijacking with Misuse,Suspected Chinese threat actor UNC4841 exploited zero-day vulnerability in Barracuda Email Security Gateway to conduct espionage against victim organisations in at least 16 countries since 10 October 2022,eurepoc
CHN,PAK,cyber,2021-Q3,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group Earth Longzhi gained access to high-profile victims of various sectors in several countries beginning in mid-2021,eurepoc
CHN,PAK,cyber,,,Espionage,Targeting of major companies and government organizations in seven countries,cfr
CHN,PAK,cyber,,,Espionage,RedFoxTrot,cfr
CHN,PAK,cyber,,,Espionage,Targeting of Uyghurs in China and Pakistan,cfr
CHN,PAK,migrazione,2019,5,,,
CHN,PAK,migrazione,2020,5,,,
CHN,GUY,cyber,2022-Q1,,Data theft;Hijacking with Misuse,Chinese APT Earth Krahang breached 70 organizations in 23 countries since at least 2022,eurepoc
CHN,GUY,cyber,2023-Q1,,Data theft;Hijacking with Misuse,Unspecified China-aligned hacking group gained access to Guyanese government entity's network and stole information in February 2023,eurepoc
CHN,GUY,cyber,,,Espionage,Targeting of government agency in Guyana,cfr
CHN,HUN,cyber,2022-Q1,,Data theft;Hijacking with Misuse,Chinese APT Earth Krahang breached 70 organizations in 23 countries since at least 2022,eurepoc
CHN,HUN,cyber,2022-Q3,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group GREF spied on unspecified Android users using malicious Signal plus Messenger app beginning in June 2022,eurepoc
CHN,HUN,cyber,2020-Q2,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group GREF accessed backup data of unspecified Android users and exfiltrated unspecified data through malicious FlyGram app beginning in June 2020,eurepoc
CHN,HUN,cyber,,,Espionage,Targeting of government agencies across Eastern Europe,cfr
CHN,HUN,migrazione,2018,5,,,
CHN,HUN,migrazione,2019,5,,,
CHN,HUN,migrazione,2020,5,,,
CHN,HUN,migrazione,2021,5,,,
CHN,HUN,migrazione,2022,15,,,
CHN,HUN,migrazione,2023,16,,,
CHN,HUN,migrazione,2024,18,,,
CHN,NLD,cyber,2022-Q1,,Data theft;Hijacking with Misuse,"Chinese state-sponsored threat actor infiltrated 20,000 FortiGate appliances and infiltrated network of Dutch Ministry of Defence, stealing user data in 2022-2023",eurepoc
CHN,NLD,cyber,2022-Q3,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group GREF spied on unspecified Android users using malicious Signal plus Messenger app beginning in June 2022,eurepoc
CHN,NLD,cyber,2020-Q2,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group GREF accessed backup data of unspecified Android users and exfiltrated unspecified data through malicious FlyGram app beginning in June 2020,eurepoc
CHN,NLD,cyber,2022-Q4,,Data theft;Hijacking with Misuse,Suspected Chinese threat actor UNC4841 exploited zero-day vulnerability in Barracuda Email Security Gateway to conduct espionage against victim organisations in at least 16 countries since 10 October 2022,eurepoc
CHN,NLD,cyber,2019-Q1,,Data theft;Hijacking with Misuse,Chinese MSS campaign,eurepoc
CHN,NLD,cyber,2011-Q4,,Espionage,Nitro attacks,cfr
CHN,NLD,cyber,,,Espionage,Targeting of Dutch chipmaker NXP,cfr
CHN,NLD,migrazione,2018,1106,,,
CHN,NLD,migrazione,2019,1004,,,
CHN,NLD,migrazione,2020,879,,,
CHN,NLD,migrazione,2021,770,,,
CHN,NLD,migrazione,2022,915,,,
CHN,NLD,migrazione,2023,993,,,
CHN,NLD,migrazione,2024,910,,,
CHN,NCL,cyber,2023-Q4,,Hijacking without Misuse,Chinese APT Volt Typhoon compromised telecommunication provider of Southwest Pacific Islands of New Caledonian in December 2023,eurepoc
CHN,ZWE,cyber,2022-Q1,,Data theft;Hijacking with Misuse,China-linked hacker group 'UNC53' gained access to systems of 29 organizations worldwide since the beginning of 2022,eurepoc
CHN,MDG,cyber,2022-Q1,,Data theft;Hijacking with Misuse,China-linked hacker group 'UNC53' gained access to systems of 29 organizations worldwide since the beginning of 2022,eurepoc
CHN,TZA,cyber,2022-Q1,,Data theft;Hijacking with Misuse,China-linked hacker group 'UNC53' gained access to systems of 29 organizations worldwide since the beginning of 2022,eurepoc
CHN,GHA,cyber,2022-Q1,,Data theft;Hijacking with Misuse,China-linked hacker group 'UNC53' gained access to systems of 29 organizations worldwide since the beginning of 2022,eurepoc
CHN,ESP,cyber,2022-Q3,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group GREF spied on unspecified Android users using malicious Signal plus Messenger app beginning in June 2022,eurepoc
CHN,ESP,cyber,2020-Q2,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group GREF accessed backup data of unspecified Android users and exfiltrated unspecified data through malicious FlyGram app beginning in June 2020,eurepoc
CHN,ESP,cyber,2022-Q4,,Data theft;Hijacking with Misuse,Suspected Chinese threat actor UNC4841 exploited zero-day vulnerability in Barracuda Email Security Gateway to conduct espionage against victim organisations in at least 16 countries since 10 October 2022,eurepoc
CHN,ESP,cyber,2012-Q2,,Espionage,SabPub,cfr
CHN,ESP,migrazione,2018,20,,,
CHN,ESP,migrazione,2019,20,,,
CHN,ESP,migrazione,2020,27,,,
CHN,ESP,migrazione,2021,32,,,
CHN,ESP,migrazione,2022,109,,,
CHN,ESP,migrazione,2023,163,,,
CHN,ESP,migrazione,2024,197,,,
CHN,YEM,cyber,2022-Q3,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group GREF spied on unspecified Android users using malicious Signal plus Messenger app beginning in June 2022,eurepoc
CHN,YEM,cyber,2020-Q2,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group GREF accessed backup data of unspecified Android users and exfiltrated unspecified data through malicious FlyGram app beginning in June 2020,eurepoc
CHN,YEM,cyber,2022-Q4,,Data theft;Hijacking with Misuse,Suspected Chinese threat actor UNC4841 exploited zero-day vulnerability in Barracuda Email Security Gateway to conduct espionage against victim organisations in at least 16 countries since 10 October 2022,eurepoc
CHN,UKR,cyber,2022-Q3,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group GREF spied on unspecified Android users using malicious Signal plus Messenger app beginning in June 2022,eurepoc
CHN,UKR,cyber,2020-Q2,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group GREF accessed backup data of unspecified Android users and exfiltrated unspecified data through malicious FlyGram app beginning in June 2020,eurepoc
CHN,UKR,cyber,2022-Q1,,Hijacking without Misuse,"Chinese APT Curious Gorge compromised various targets in Ukraine, Russia and Central Asia since 2022",eurepoc
CHN,UKR,cyber,2021-Q1,,Data theft;Hijacking with Misuse,TA428 used Windows malware to target Eastern European governments and entities and departments in Afghanistan since 2021,eurepoc
CHN,UKR,cyber,2021-Q3,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group Earth Longzhi gained access to high-profile victims of various sectors in several countries beginning in mid-2021,eurepoc
CHN,UKR,cyber,2022-Q1,,Data theft;Disruption,China hacks Ukraine in Run-Up To Invasion - 2022,eurepoc
CHN,UKR,cyber,,,Espionage,Targeting of government agencies across Eastern Europe,cfr
CHN,UKR,cyber,,,Espionage,Targeting of industrial enterprises and public institutions in Central Asia and Eastern Europe,cfr
CHN,UKR,cyber,,,Espionage,Targeting of Ukrainian government officials,cfr
CHN,UKR,cyber,,,Espionage,"Targeting of entities in India, Kazakhstan, Kyrgyzstan, Malaysia, Russia, and Ukraine",cfr
CHN,PRT,cyber,2022-Q3,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group GREF spied on unspecified Android users using malicious Signal plus Messenger app beginning in June 2022,eurepoc
CHN,PRT,cyber,2020-Q2,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group GREF accessed backup data of unspecified Android users and exfiltrated unspecified data through malicious FlyGram app beginning in June 2020,eurepoc
CHN,PRT,migrazione,2021,6,,,
CHN,PRT,migrazione,2022,65,,,
CHN,PRT,migrazione,2023,56,,,
CHN,PRT,migrazione,2024,57,,,
CHN,LTU,cyber,2022-Q3,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group GREF spied on unspecified Android users using malicious Signal plus Messenger app beginning in June 2022,eurepoc
CHN,LTU,cyber,2020-Q2,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group GREF accessed backup data of unspecified Android users and exfiltrated unspecified data through malicious FlyGram app beginning in June 2020,eurepoc
CHN,DNK,cyber,2022-Q3,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group GREF spied on unspecified Android users using malicious Signal plus Messenger app beginning in June 2022,eurepoc
CHN,DNK,cyber,2020-Q2,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group GREF accessed backup data of unspecified Android users and exfiltrated unspecified data through malicious FlyGram app beginning in June 2020,eurepoc
CHN,DNK,cyber,2022-Q4,,Data theft;Hijacking with Misuse,Suspected Chinese threat actor UNC4841 exploited zero-day vulnerability in Barracuda Email Security Gateway to conduct espionage against victim organisations in at least 16 countries since 10 October 2022,eurepoc
CHN,DNK,cyber,,,Espionage,Targeting of over seventy-five organizations,cfr
CHN,DNK,migrazione,2018,16,,,
CHN,DNK,migrazione,2019,19,,,
CHN,DNK,migrazione,2020,17,,,
CHN,DNK,migrazione,2021,19,,,
CHN,DNK,migrazione,2022,17,,,
CHN,DNK,migrazione,2023,16,,,
CHN,DNK,migrazione,2024,80,,,
CHN,POL,cyber,2022-Q3,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group GREF spied on unspecified Android users using malicious Signal plus Messenger app beginning in June 2022,eurepoc
CHN,POL,cyber,2020-Q2,,Data theft;Hijacking with Misuse,Chinese state-sponsored hacking group GREF accessed backup data of unspecified Android users and exfiltrated unspecified data through malicious FlyGram app beginning in June 2020,eurepoc
CHN,POL,cyber,2022-Q4,,Data theft;Hijacking with Misuse,Suspected Chinese threat actor UNC4841 exploited zero-day vulnerability in Barracuda Email Security Gateway to conduct espionage against victim organisations in at least 16 countries since 10 October 2022,eurepoc
CHN,POL,cyber,,,Espionage,Targeting of over seventy-five organizations,cfr
CHN,POL,migrazione,2018,18,,,
CHN,POL,migrazione,2019,21,,,
CHN,POL,migrazione,2020,16,,,
CHN,POL,migrazione,2021,17,,,
CHN,POL,migrazione,2022,32,,,
CHN,POL,migrazione,2023,39,,,
CHN,POL,migrazione,2024,59,,,
