PERIODO,EVENTS
2018-Q1,331
2018-Q2,201
2018-Q3,143
2018-Q4,117
2019-Q1,242
2019-Q2,113
2019-Q3,129
2019-Q4,97
2020-Q1,66
2020-Q2,106
2020-Q3,60
2020-Q4,66
2021-Q1,79
2021-Q2,116
2021-Q3,65
2021-Q4,69
2022-Q1,55
2022-Q2,65
2022-Q3,59
2022-Q4,36
2023-Q1,41
2023-Q2,44
2023-Q3,36
2023-Q4,40
2024-Q1,73
2024-Q2,53
2024-Q3,50
2024-Q4,38
