event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2023-02-23,2023,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"Around 23 February 2023 (as reported), construction workers attached placards to their clothes and gathered to demonstrate in Huizhou city, Guangdong (coded to Huicheng) to demand wage arrears.",0,2023-Q1
2023-02-23,2023,Protests,Peaceful protest,Protesters (China),,China,Zhejiang,"Around 23 February 2023 (as reported), construction workers gathered to demonstrate in Hangzhou, Zhejiang (coded to Jianggan) to demand wage arrears.",0,2023-Q1
2023-02-22,2023,Protests,Peaceful protest,Protesters (China),,China,Zhejiang,"Around 22 February 2023 (as reported), construction workers gathered to demonstrate in Ningbo city, Zhejiang (coded to Yinzhou) to demand wage arrears.",0,2023-Q1
2023-02-21,2023,Protests,Peaceful protest,Protesters (China),,China,Jiangsu,"Around 21 February 2023 (as reported), factory workers gathered to demonstrate and went on a strike in Kunshan city (Suzhou, Jiangsu) to demand wage arrears.",0,2023-Q1
2023-02-21,2023,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"Around 21 February 2023 (as reported), employees of an electronics company gathered to demonstrate in Bao'an district (Shenzhen, Guangdong) to demand wage arrears.",0,2023-Q1
2023-02-21,2023,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"Around 21 February 2023 (as reported), workers of a building materials factory gathered to demonstrate and went on a strike in Shunde district (Foshan, Guangdong) to demand wage arrears.",0,2023-Q1
2023-02-21,2023,Protests,Peaceful protest,Protesters (China),,China,Hebei,"Around 21 February 2023 (as reported), construction workers gathered to demonstrate in Tangshan city, Hebei (coded to Lubei) to demand wage arrears.",0,2023-Q1
2023-02-15,2023,Protests,Peaceful protest,Protesters (China),,China,Beijing,"On 15 February 2023, employees of a media company gathered to demonstrate in their office in Beijing - Chaoyang to demand wage arrears.",0,2023-Q1
2023-02-21,2023,Protests,Peaceful protest,Protesters (China),,China,Jiangsu,"Around 21 February 2023 (as reported), construction workers gathered to demonstrate in Yangzhou city, Jiangsu (coded to Guangling) to demand wage arrears.",0,2023-Q1
2023-02-21,2023,Protests,Peaceful protest,Protesters (China),,China,Chongqing,"Around 21 February 2023 (as reported), construction workers gathered to demonstrate in Chongqing city (coded to Chongqing) to demand wage arrears.",0,2023-Q1
2023-02-20,2023,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"Around 20 February 2023 (as reported), factory workers gathered to demonstrate in Shenzhen city, Guangdong (coded to Shenzhen) to demand wage arrears.",0,2023-Q1
2023-02-20,2023,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"Around 20 February 2023 (as reported), factory workers held banners in Dongwan city, Guangdong (coded to Nancheng) to demand wage arrears.",0,2023-Q1
2023-02-20,2023,Protests,Peaceful protest,Protesters (China),,China,Anhui,"Around 20 February 2023 (as reported), construction workers filed petitions together to the local government in Hefei city, Anhui (coded to Shushan) to demand wage arrears.",0,2023-Q1
2023-02-19,2023,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"Around 19 February 2023 (as reported), factory workers gathered to demonstrate in Zhongshan city, Guangdong (coded to Dongqu) to demand compensation for work-related injuries.",0,2023-Q1
2023-02-19,2023,Protests,Peaceful protest,Protesters (China),,China,Fujian,"Around 19 February 2023 (as reported), construction workers gathered to demonstrate in Xianyou county (Putian, Fujian) to demand wage arrears.",0,2023-Q1
2023-02-18,2023,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"Around 18 February 2023 (as reported), construction workers gathered to demonstrate in Dongwan city, Guangdong (coded to Nancheng) to demand wage arrears.",0,2023-Q1
2023-02-17,2023,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"Around 17 February 2023 (as reported), construction workers gathered to demonstrate in Shenzhen city, Guangdong (coded to Shenzhen) to demand wage arrears.",0,2023-Q1
