titolo,categoria,sponsor_stato,paesi_vittima,ruolo,data_evento,fonte_data_evento,descrizione,link
"Targeting of the telecommunications sector in Egypt, Sudan, and Tanzania",Espionage,Iran (Islamic Republic of),"Egypt, Sudan, Tanzania, United Republic of",vittima,,da_estrarre_con_llm,"Iranian threat actor Muddywater targeted the telecommunications sector in Egypt, Sudan, and Tanzania in November 2023.",https://www.cfr.org/cyber-operations/targeting-of-the-telecommunications-sector-in-egypt-sudan-and-tanzania
DarkUniverse,,Russian Federation,"Afghanistan, Belarus, Ethiopia, Iran (Islamic Republic of), Russian Federation, Sudan, Syrian Arab Republic, Tanzania, United Republic of, United Arab Emirates",vittima,,da_estrarre_con_llm,"DarkUniverse was a threat group affiliated with Russia that was active for at least eight years, from 2009 until 2017.",https://www.cfr.org/cyber-operations/darkuniverse
Flame,Data destruction,"Israel, United States","Austria, Egypt, France, Hungary, Iran (Islamic Republic of), Israel, Lebanon, Russian Federation, Saudi Arabia, Sudan, Syrian Arab Republic, United Arab Emirates",vittima,2012-05-28,archivio_cfr_2019,"A threat actor, using a tool called Flame, targeted computers in the Middle East region; the most compromises were in Iran. This compromise gained widespread coverage due to the modular nature of the malware the threat actors used.",https://www.cfr.org/cyber-operations/flame
