PERIODO,EVENTS
2018-Q1,15
2018-Q2,94
2018-Q3,139
2018-Q4,55
2019-Q1,63
2019-Q2,100
2019-Q3,47
2019-Q4,40
2020-Q1,80
2020-Q2,31
2020-Q3,85
2020-Q4,40
2021-Q1,45
2021-Q2,269
2021-Q3,41
2021-Q4,29
2022-Q1,49
2022-Q2,33
2022-Q3,38
2022-Q4,26
2023-Q1,24
2023-Q2,79
2023-Q3,29
2023-Q4,1063
2024-Q1,588
2024-Q2,692
2024-Q3,918
2024-Q4,1062
