titolo,categoria,sponsor_stato,paesi_vittima,ruolo,data_evento,fonte_data_evento,descrizione,link
DarkUniverse,,Russian Federation,"Afghanistan, Belarus, Ethiopia, Iran (Islamic Republic of), Russian Federation, Sudan, Syrian Arab Republic, Tanzania, United Republic of, United Arab Emirates",vittima,,da_estrarre_con_llm,"DarkUniverse was a threat group affiliated with Russia that was active for at least eight years, from 2009 until 2017.",https://www.cfr.org/cyber-operations/darkuniverse
Targeting of Ethiopian dissidents,Espionage,Ethiopia,"United Kingdom, United States",attore,2017-12-06,archivio_cfr_2019,"A threat actor targeted Ethiopian dissidents for the purpose of espionage, using commercially available spyware sold by Cyberbit, an Israel-based company. Cyberbit is also believed to have tried to sell its spyware to law enforcement and national security organizations in the Philippines, Thailand, Uzbekistan, and Zambia.",https://www.cfr.org/cyber-operations/targeting-of-ethiopian-dissidents
