PERIODO,EVENTS
2018-Q1,20
2018-Q2,31
2018-Q3,31
2018-Q4,11
2019-Q1,15
2019-Q2,20
2019-Q3,37
2019-Q4,14
2020-Q1,29
2020-Q2,15
2020-Q3,66
2020-Q4,52
2021-Q1,27
2021-Q2,66
2021-Q3,65
2021-Q4,39
2022-Q1,47
2022-Q2,43
2022-Q3,68
2022-Q4,142
2023-Q1,52
2023-Q2,68
2023-Q3,45
2023-Q4,25
2024-Q1,41
2024-Q2,24
2024-Q3,28
2024-Q4,47
