PERIODO,EVENTS
2018-Q1,75
2018-Q2,70
2018-Q3,64
2018-Q4,54
2019-Q1,31
2019-Q2,12
2019-Q3,17
2019-Q4,10
2020-Q1,13
2020-Q2,14
2020-Q3,27
2020-Q4,21
2021-Q1,32
2021-Q2,32
2021-Q3,56
2021-Q4,41
2022-Q1,46
2022-Q2,87
2022-Q3,131
2022-Q4,185
2023-Q1,202
2023-Q2,662
2023-Q3,1173
2023-Q4,1026
2024-Q1,1556
2024-Q2,2980
2024-Q3,4414
2024-Q4,4161
