event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2018-04-22,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Khanty-Mansi,"On 22 April 2018, people gathered in Surgut to protest against the housing subsidy programme. The action was authorised by the local authorities.",0,2018-Q2
2018-04-23,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Moscow Oblast,"On 23 April a protest was held in Solnechnogorsk, Moscow Oblast. The protesters marched against construction of landfill and demanded resignation of the governor.",0,2018-Q2
2018-04-24,2018,Strategic developments,Arrests,Police Forces of Russia (2000-) Federal Security Service,Hizb ut-Tahrir,Russia,Republic of Tatarstan,"On 24 April 2018 the Federal Security Service arrested 14 high profile members of Hizb ut Tahrir (described as 'terrorist' organization) regional cell in Tatarstan, Omsk and Ulyanovsk regions. They were allegedly recruiting fighters for Middle East and Afghanistan-Pakistani region.",0,2018-Q2
2018-04-24,2018,Protests,Protest with intervention,Protesters (Russia),Police Forces of Russia (2000-),Russia,Moscow Oblast,"On 24 April 2018, four workers of a building company Megapolis were detained by the police forces of Russia in Klimovsk as they protested against they employers who failed to pay their salaries.",0,2018-Q2
2018-04-29,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Kamchatka,"On 29 April 2018, 100-150 people participated in a sanctioned rally asking for the resignation of the local governor Vladimir Ilyukhin in Petropavlovsk-Kamchatsky. Residents started voicing the discontent after a law raising pensions for officials and deputies was passed. The protest was preceded by an ironic fundraising campaign for the governor's retirement.",0,2018-Q2
2018-05-01,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Novosibirsk,"On 01 May 2018, 7000 persons participated in the May Day demonstrations in Novosibirsk. About 250 under the union SO RAN demanded the resignation of the government of Medvedev.",0,2018-Q2
2018-05-01,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Murmansk,"On 01 May 2018, more than 3000 persons participated in May Day rallies in Murmansk.",0,2018-Q2
2018-05-01,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Oryol,"On 01 May 2018, people gathered in Oryol to celebrate May Day. According to the source, this May Day rally was one of the largest in recent years, was organised by the regional branch of the Communist Party of the Russian Federation, and counted among its ranks protesters against the inclusion of the TBO landfill into the territorial waste management scheme (meaning that waste from neighbouring districts would be transferred there).",0,2018-Q2
2018-05-01,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Kamchatka,"On 01 May 2018, rallies were organised in Petropavlovsk-Kamchatsky on the occasion of the International labour Day.",0,2018-Q2
2018-05-01,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Tomsk,"On 01 May 2018, 60 persons participated in a sanctioned protest called 'Monstration', an artistic rally where apolitical banners are held up, in Tomsk.",0,2018-Q2
2018-05-01,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Tver,"On 01 May 2018, 16 000 persons took part in the May Day rally in Tver.",0,2018-Q2
