event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2018-01-16,2018,Battles,Armed clash,Police Forces of Saudi Arabia (2015-),Unidentified Armed Group (Saudi Arabia),Saudi Arabia,Eastern,"Saudi security forces shot dead Abdullah bin Mirza al-Qalaf, in Awwamiyya town, Qatif. According to Press TV (who quoted 'local sources'), Qallaf was mistakenly shot by Saudi troops who were targeting a political activist. Pro-Saudi government sources named him as a fugitive wanted for his involvement in killing Abdulla Al-Qahtani, a policeman on-duty in an incident two months ago. Saudi Press Agency reported short clashes, and confirmed that the man was armed.",1,2018-Q1
2018-08-10,2018,Protests,Peaceful protest,Protesters (Saudi Arabia),,Saudi Arabia,Eastern,"On 10 August 2018, activists held a solidarity stand in the Qatif region, east of Saudi Arabia, to condemn the attack of the Saudi-led coalition on students in Dhahyan in Yemen, which killed several dozens.",0,2018-Q3
2020-01-07,2020,Battles,Armed clash,Police Forces of Saudi Arabia (2015-),Unidentified Armed Group (Saudi Arabia),Saudi Arabia,Eastern,"On 7 January 2020, a wanted gunman shot at police forces in Al Qatif governorate (Ash Sharqiyah). The police arrested the gunman. No report of fatalities or injuries.",0,2020-Q1
2020-12-20,2020,Strategic developments,Change to group/activity,Government of Saudi Arabia (2015-),,Saudi Arabia,Ar Riyadh,"Security measures: On 20 December 2020, Saudi officials announced the suspension of international flights and of entry through ports and border crossings for one week, following the spread of a new strain of Coronavirus in the United Kingdom. Reportedly, the transportation of goods from countries without the new strain was excluded from the decision. On 28 December 2020, Saudi officials extended suspension of international flights and of entry through ports and border crossings for one week while allowing foreigners in the country to leave.",0,2020-Q4
2020-12-28,2020,Battles,Armed clash,Military Forces of Saudi Arabia (2015-),Unidentified Armed Group (Saudi Arabia),Saudi Arabia,Jizan,"Around 28 December 2020 (as reported), a Saudi soldier was killed during clashes with an unidentified group in the southern border area of the Jazan region (Jizan).",1,2020-Q4
2019-07-15,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Saudi Arabia (2015-),Civilians (Saudi Arabia),Saudi Arabia,Eastern,"Around 15 July 2019 (month of), Saudi forces attacked Al Jash district in Al Qatif (Ash Sharqiyah) with artillery, killing one civilian.",1,2019-Q3
2019-12-25,2019,Battles,Armed clash,Police Forces of Saudi Arabia (2015-),Unidentified Armed Group (Saudi Arabia),Saudi Arabia,Eastern,"On 25 December 2019, Saudi security forces clashed with unidentified gunmen in a residential area in Dammam (Ad Dammam, Ash Sharqiyah). Two of the gunmen were killed in the clashes.",2,2019-Q4
2021-02-02,2021,Protests,Protest with intervention,Protesters (Saudi Arabia),Police Forces of Saudi Arabia (2015-),Saudi Arabia,Al Qassim,"On 2 February 2021, Saudi police forces intervened to break up a demonstration with hundreds of protesters demonstrating against Saudi economic policies in Buraydah (Buraydah, Al-Qassim). There were no reports of fatalities.",0,2021-Q1
2019-09-29,2019,Violence against civilians,Attack,Humat al Tawhid,Civilians (Saudi Arabia),Saudi Arabia,Mecca,"On 29 September 2019, one of the personal guards of the Saudi King, Abd al Aziz al-Faghm from the Mutayr tribe, in the Hayy al Shati (Jiddah, Makkah) was killed by a new group called Humat al-Tawhid (Guardians of Monotheism). Contrary to this version of the facts, Saudi whistleblowers claim that the matter is connected to the killing of journalist Khashoggi one year ago. Earlier it had been suggested that the killing came after a personal dispute, but main figures of the Mutayr tribe had been forced to meet with Crown Prince Muhammad bin Salman in Riyadh and were prevented from travelling abroad. Saudi authorities claim that the perpetrator of al-Faghm's murder has been killed by security forces but refuse to hand him over.",1,2019-Q3
2019-11-11,2019,Violence against civilians,Attack,AQAP: Al Qaeda in the Arabian Peninsula,Civilians (Spain),Saudi Arabia,Ar Riyadh,"On 11 November 2019, a Yemeni-national stabbed and injured four Spanish actors in King Abdullah Park in the Al Malaz neighbourhood of Riyadh. During the trial, Saudi television reported that the Yemeni man operated under the orders of Al Qaeda command.",0,2019-Q4
