year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2018,177,Sudan,SUD,SDN,-,-,-,-,724787,67433,1804,1864195,0,0,0,-,0
2019,177,Sudan,SUD,SDN,-,-,-,-,734780,72017,2191,1885782,0,0,7,-,0
2020,177,Sudan,SUD,SDN,-,-,-,-,787823,70049,30,2552174,0,0,158,-,0
2021,177,Sudan,SUD,SDN,-,-,-,-,825290,75164,33,3036590,0,0,301,-,0
2022,177,Sudan,SUD,SDN,-,-,-,-,837188,86838,12313,3552717,0,0,2076,-,0
2023,177,Sudan,SUD,SDN,-,-,-,-,1496923,253902,17238,9052822,0,0,1981,-,21661
2024,177,Sudan,SUD,SDN,-,-,-,-,2094373,682535,6472,11559970,0,0,1782,-,32823
