PERIODO,EVENTS
2018-Q1,2561
2018-Q2,2626
2018-Q3,2799
2018-Q4,2817
2019-Q1,3256
2019-Q2,2842
2019-Q3,2461
2019-Q4,2016
2020-Q1,2559
2020-Q2,2641
2020-Q3,2561
2020-Q4,2252
2021-Q1,2097
2021-Q2,1649
2021-Q3,1702
2021-Q4,1935
2022-Q1,1957
2022-Q2,1678
2022-Q3,2019
2022-Q4,1005
2023-Q1,1366
2023-Q2,1001
2023-Q3,1273
2023-Q4,811
2024-Q1,835
2024-Q2,869
2024-Q3,1003
2024-Q4,981
