year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2018,163,Saudi Arabia,SAU,SAU,-,-,-,-,1492,1436,0,0,0,0,10,-,0
2019,163,Saudi Arabia,SAU,SAU,-,-,-,-,1721,1410,0,0,0,0,26,-,0
2020,163,Saudi Arabia,SAU,SAU,-,-,-,-,2003,1249,0,0,0,0,26,-,0
2021,163,Saudi Arabia,SAU,SAU,-,-,-,-,2167,1541,0,0,0,0,32,-,0
2022,163,Saudi Arabia,SAU,SAU,-,-,-,-,1942,2537,0,0,0,0,31,-,0
2023,163,Saudi Arabia,SAU,SAU,-,-,-,-,2090,1640,0,0,0,0,27,-,0
2024,163,Saudi Arabia,SAU,SAU,-,-,-,-,2332,1539,0,0,0,0,20,-,0
