PERIODO,EVENTS
2018-Q1,548
2018-Q2,527
2018-Q3,439
2018-Q4,444
2019-Q1,515
2019-Q2,628
2019-Q3,583
2019-Q4,602
2020-Q1,619
2020-Q2,613
2020-Q3,351
2020-Q4,338
2021-Q1,423
2021-Q2,385
2021-Q3,362
2021-Q4,241
2022-Q1,318
2022-Q2,178
2022-Q3,202
2022-Q4,161
2023-Q1,196
2023-Q2,168
2023-Q3,171
2023-Q4,130
2024-Q1,156
2024-Q2,111
2024-Q3,143
2024-Q4,108
