event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2018-02-12,2018,Protests,Protest with intervention,Protesters (Venezuela),Police Forces of Venezuela (1999-),Venezuela,Tachira,"On 12 February 2018, a group of people protested in San Cristobal against the country's political and economic crisis. The municipal Police arrested five of the protesters.",0,2018-Q1
2018-12-11,2018,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 11 December 2018, residents of San Cristobal, Tachira state, blocked for the second consecutive day the avenue Ferrero Tamayo due to the lack of domestic gas. The demonstrators placed the cylinders along the road to prevent the transit of vehicles.",0,2018-Q4
2018-12-10,2018,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 10 December 2018, residents of San Cristobal, Tachira state, blocked the avenue Ferrero Tamayo due to the lack of domestic gas.",0,2018-Q4
2018-01-17,2018,Riots,Violent demonstration,Rioters (Venezuela),Military Forces of Venezuela (1999-) GNB: Venezuelan National Guard,Venezuela,Tachira,"On 17 January 2018, a group of people blocked the Rotaria avenue in San Cristobal using burning tires. The National Guard dispersed the demonstration.",0,2018-Q1
2018-06-29,2018,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 29 June 2018, workers from the Tachira University protested to demand a raise in their salaries and solutions to the economic crisis.",0,2018-Q2
2018-11-07,2018,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 7 November 2018, residents in six sectors of San Cristobal (Tariba, el sector El Diamante, Capacho Nuevo, la calle 16 con avenida Carabobo, Los Kioscos, Torres Blancas y San Josecito) protested against the lack of domestic gas, gasoline, and distribution of water. Rioters closed roads and avenues.",0,2018-Q4
2018-01-20,2018,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 20 March 2018, members of the communities Pan de Azucar, Pata de Gallina, and Berlin blocked the road that connects San Cristobal to Rubio to protest against the problems with the gas service.",0,2018-Q1
2018-01-29,2018,Protests,Protest with intervention,Protesters (Venezuela),Police Forces of Venezuela (1999-),Venezuela,Tachira,"On 29 January 2018, students from the Technical Industrial School in San Cristobal protested in the Quinta Avenida. The municipal Police confronted the protesters. Six people were arrested.",0,2018-Q1
2018-10-15,2018,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 15 October 2018, streets were blocked by citizens of San Cristobal, Tachira, in demonstration to demand the sale of domestic gas that has not been received for various months. The military forces mediated with different demonstrators to allow the traffic to resume.",0,2018-Q4
2018-05-20,2018,Protests,Protest with intervention,Protesters (Venezuela),Military Forces of Venezuela (1999-) GNB: Venezuelan National Guard,Venezuela,Tachira,"On 20 May 2018, a group of people protested in Sucre neighborhood in San Cristobal against the result of the presidential election. The National Guard dispersed the protest. One person was injured and two others were arrested by the National Guard.",0,2018-Q2
2019-11-16,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 16 November 2019, in San Cristobal, Tachira state, people marched after opposition leader, Juan Guaido, made a call for a national protest. The motive of the protest was to reject the regime of President Nicolas Maduro, the lack of public services, as well as to demand free elections.",0,2019-Q4
2019-08-21,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 21 August 2019, in San Cristobal, Tachira state, members of the Un Nuevo Tiempo (UNT) party protested to demand that the government hand over the concession of the distribution of gas, electricity, and water to private companies. It is reported that there is a 60% deficit of domestic gas cylinders.",0,2019-Q3
2019-07-18,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 18 July 2019, a group of people went out to protest in San Cristobal, Tachira state to demand the supply of domestic gas. It is reported that for months, residents of several areas of the city have reported a lack of gas and the authorities have not solved the problem. It is also reported that, so far, the neighbors have cooked with wood.",0,2019-Q3
2019-09-16,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 16 September 2019, in San Cristobal, Tachira state, teachers protested to demand better salaries and the reconditioning of schools. Protesters also rejected the fast training that some teachers are having by the government of Nicolas Maduro.",0,2019-Q3
2019-12-03,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"Between December 03 and 04 2019, in San Cristobal, Tachira state, residents protested, in the middle of the street with empty gas cylinders, to demand the supply of domestic gas. Residents informed that they have not received gas in four months and they have been cooking with firewood.",0,2019-Q4
2019-11-21,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 21 November 2019, at the National Guard (GNB) command Zonal 21 in San Cristobal, Tachira state, a group of students and members of the Frente Amplio protested against the bad condition of universities' infrastructures, the lack of public services, and high insecurity levels within higher education institutions. The protest took place during the College Student Day commemoration.",0,2019-Q4
2019-11-19,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 19 November 2019, in front of the Central hospital in San Cristobal, Tachira state, health workers protested against the lack of medicines, personnel, medical supplies, and low salaries. The protest took place as part of a call made by the opposition leader, Juan Guaido.",0,2019-Q4
2019-11-12,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 12 November 2019, in front of the Labor Ministry in San Cristobal, Tachira state, teachers protested to demand better working conditions and salaries. The protest was taking place within a 72-hour national strike.",0,2019-Q4
2019-10-30,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 30 October 2019, in San Cristobal, Tachira state, a group of health workers protested within the framework of a national strike. It is reported that the reason for the protest is to demand better working conditions and an increase in their salary.",0,2019-Q4
2019-10-22,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 22 October 2019, in Tachira state, teachers protested to demand better working conditions, freedom of association, and salary increase. Teachers are demanding salary vindications from national and regional authorities. It is reported that the protest took place within the framework of a national strike of 48 hours.",0,2019-Q4
2019-09-25,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 25 September 2019, in San Cristobal, Tachira state, neighbors protested because they paid for domestic gas and the national gas company PDVSA Gas has not delivered the gas cylinders. It is reported that the inhabitants have been without domestic gas for two to five months.",0,2019-Q3
2018-05-02,2018,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 2 May 2018, workers from the Venezuelan Social Security Institute protested in the 5th Avenue in San Cristobal against their low salaries.",0,2018-Q2
2019-11-13,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 13 November 2019, in front of the company PDVSA Gas in San Cristobal, Tachira state, a group of families of patients with disability protested to demand domestic gas. Protesters reported that they have not received domestic gas for three months.",0,2019-Q4
2019-12-13,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 13 December 2019, in San Cristobal, Tachira state, residents of the Lourdes neighborhood blocked a road with empty cylinders to demand the supply of domestic gas. Residents informed that they have not received gas for nine months and they have had to cook with firewood.",0,2019-Q4
2019-05-24,2019,Protests,Protest with intervention,Protesters (Venezuela),Police Forces of Venezuela (1999-),Venezuela,Tachira,"On 24 May 2019, in San Cristobal, National Guard troops threw tear gas bombs against protesters who were holding a gasoline tank as a means of protest to demand the dispatch of fuel.",0,2019-Q2
2019-10-10,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 10 October 2019, in San Cristobal, Tachira state, teachers protested to demand better wages and working conditions. It is reported that 80% of students did not attend school and 90% of teachers did not work. The protest took place within the framework of a national protest.",0,2019-Q4
2019-08-01,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 1 August 2019, a group of health workers protested in San Cristobal, Tachira state, to denounce that 80% of the staff have left the country and that they do not have enough supplies to assist patients. Similarly, protesters reported that the salary is not enough and that there is workplace harassment.",0,2019-Q3
2019-01-30,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 30 January 2019, in front of a court in San Cristobal, Tachira state, relatives of a woman, who was killed by a National Guard (GNB) in May 2018, protested to demand justice.",0,2019-Q1
2018-11-05,2018,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"Between November 5 and 7, 2018, in the Cardenas municipality in San Cristobal, Tachira state, a group of people protested due to the lack of domestic gas.",0,2018-Q4
2019-06-26,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 26 June 2019, in Tachira state, a group of journalists protested due to the economic and social conditions in Venezuela. Protesters reported that, like many other citizens, they face the lack of gasoline, public services such as water, electricity, gas, and security.",0,2019-Q2
2018-03-22,2018,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 22 March 2018, in San Cristobal, Tachira state, doctors and nurses protested to demand medical supplies, better working conditions, and basic services such as electric power.",0,2018-Q1
2018-07-19,2018,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 19 July 2018, in San Cristobal, Tachira state, patients and health workers marched to demand better salaries and working conditions for nurses, doctors, and administrative workers.",0,2018-Q3
2018-11-04,2018,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 4 November 2018, a group of residents of the Obrero neighborhood in San Cristobal, Tachira state, protested due to failures in the supply of domestic gas in the area. It is reported that neighbors were protesting until late at night waiting for a domestic gas truck to arrive.",0,2018-Q4
2019-09-23,2019,Strategic developments,Looting/property destruction,Colectivos,Civilians (Venezuela),Venezuela,Tachira,"On 23 September 2019, in San Cristobal, Tachira state, the headquarters of two radio stations were destroyed by a group of Colectivos. It is reported that the Colectivos threatened the personnel of the radio stations.",0,2019-Q3
2018-03-23,2018,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 23 March 2018, pensioners blocked the roads in the center of San Cristobal to protest against the problems with the payment of their pensions.",0,2018-Q1
2018-10-05,2018,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 5 October 2018, employees of the public administration protested in Tachira state, to denounce the elimination of labor benefits and collective contracts. Protesters also rejected the desire to implement a unique salary.",0,2018-Q4
2019-10-23,2019,Battles,Armed clash,Colectivos,Military Forces of Venezuela (1999-),Venezuela,Tachira,"On 23 October 2019, in front of Plaza San Miguel, San Cristobal, Tachira state, Colectivos and Military Officers clashed over the arrival of a gasoline truck. It is reported that the gas station in front of the Plaza San Miguel was taken by Colectivos and the clash was originated to prevent military officers from taking gasoline from the service station. It is also reported that users, who have been waiting for days, prevented military officers from taken gasoline. No injuries are reported.",0,2019-Q4
2019-10-03,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 3 October 2019, in San Cristobal, Tachira state, bus drivers protested due to the lack of gasoline in the city. It is reported that drivers have not been able to fill the gas tanks for several days.",0,2019-Q4
2018-10-10,2018,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 10 October 2018, health workers of University of Los Andes demonstrated against the government of Nicolas Maduro and complained of the conditions of the universities and other public and private entities.",0,2018-Q4
2018-09-21,2018,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 21 September 2018, in San Cristobal, Tachira State, residents protested on the 19 de Abril, Carabobo, and Las Vegas de Tariba avenues against the lack of domestic gas. People have been waiting five days for the distribution of domestic gas.",0,2018-Q3
2018-08-23,2018,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 23 August 2018, in San Cristobal, Tachira state, residents protested to reject the presence of the GNB in a supermarket.",0,2018-Q3
2018-08-31,2018,Protests,Protest with intervention,Protesters (Venezuela),Military Forces of Venezuela (1999-) GNB: Venezuelan National Guard,Venezuela,Tachira,"On 31 August 2018, in San Cristobal, Tachira state, a group of users of the Venezuela bank protested to reject the difficulties in office to get cash. The GNB intervened. No injuries were reported.",0,2018-Q3
2018-09-19,2018,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 19 September 2018, in San Cristobal, Tachira State, workers from the telephone company, CANTV, and the national electric company, CORPOELEC, protested for improvement in wages and for eliminating collective contracts.",0,2018-Q3
2019-06-29,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Tachira,"On 29 June 2019, in the La Tendida sector on the way to San Cristobal, Tachira state, a group of people blocked a road to demand the distribution of domestic gas.",0,2019-Q2
2022-10-13,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Bolivar,"On 13 October 2022, in Ciudad Guayana (Bolivar), workers of the Turkish Venezuelan Logging Company (Mavetur) protested to demand reinstatement in the company of those workers that were laid off without justification. The protest took place in the Monumento CVG square.",0,2022-Q4
2022-10-14,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Bolivar,"On 14 October 2022, in Ciudad Guayana (Bolivar), relatives and attorneys of an imprisoned pregnant woman demonstrated to demand her liberation based on health reasons. The protest took place outside the courthouse in Puerto Ordaz.",0,2022-Q4
2022-10-13,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Yaracuy,"On 13 October 2022, in San Felipe (Yaracuy), teachers and school parents' associations protested to demand improvements in a local school in La Marroquina sector.",0,2022-Q4
2022-10-10,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Carabobo,"On 10 October 2022, in Valencia (Carabobo), residents of the El Vinedo neighborhood protested to decry the power outages they were suffering. The demonstration took place in Carlos Sanda avenue.",0,2022-Q4
2022-10-11,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Merida,"On 11 October 2022, in Timotes (Merida), residents demonstrated to decry the continuous power outages they suffer and the poor state of the local school, in Los Llanitos sector. The protesters blocked the Troncal 7 road.",0,2022-Q4
2022-10-13,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Zulia,"On 13 October 2022, in Maracaibo (Zulia), residents demonstrated to decry the water shortages they continuously suffer.",0,2022-Q4
2022-10-12,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Bolivar,"On 12 October 2022, in Ciudad Guayana (Bolivar), state workers protested to demand payment of owed stipends and an increase in salaries. The protest took place outside the Venezuelan Corporation of Guayana (CVG) headquarters.",0,2022-Q4
2022-10-12,2022,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Distrito Capital,"On 12 October 2022, in Caracas - Libertador (Distrito Capital), at least 200 people belonging to different Indigenous groups, including Yukpa and Wayuu people, marched to commemorate the Indigenous Resistance Day, to support the government (PSUV), and against the sanctions imposed on Venezuela.",0,2022-Q4
