year,coa_name,refugees
2018,France,15898
2018,Austria,9946
2018,Poland,9893
2019,France,16412
2019,Poland,9870
2019,Germany,8722
2020,France,16775
2020,Germany,9172
2020,Austria,7513
2021,France,32918
2021,Germany,9584
2021,United States of America,6718
2022,France,33868
2022,Germany,12637
2022,United States of America,7675
2023,France,34900
2023,Germany,17437
2023,United States of America,9777
2024,France,36110
2024,Germany,18700
2024,United States of America,12132
