titolo,categoria,sponsor_stato,paesi_vittima,ruolo,data_evento,fonte_data_evento,descrizione,link
Targeting of Ukrainian networks via fake telecommunications firms,Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"A Russian threat actor masqueraded as a Ukrainian telecommunications firm in order to gain access to other networks in Ukraine, both through spear-phishing and malicious public domains.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-networks-via-fake-telecommunications-firms
Targeting of Ukrainian government agencies in espionage campaign,Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"Gamaredon, a Russian threat actor, was found using newly developed malware to steal information from Ukrainian government agencies. The malware was distributed through a phishing campaign.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-government-agencies-in-espionage-campaign
Targeting of Ukrainian government agencies,Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,The Computer Emergency Response Team of Ukraine found that Gamaredon had been breaking into Ukrainian government email accounts.,https://www.cfr.org/cyber-operations/targeting-of-ukrainian-government-agencies
Targeting of industrial enterprises and public institutions in Central Asia and Eastern Europe,Espionage,China,"Belarus, Russian Federation, Ukraine",vittima,,da_estrarre_con_llm,"Chinese hackers used phishing emails to plant PortDoor malware on the systems of industrial organizations in Afghanistan, Belarus, Russia, and Ukraine. Security researchers detected the hackers exfiltrating data to a server with a Chinese IP address.",https://www.cfr.org/cyber-operations/targeting-of-industrial-enterprises-and-public-institutions-in-central-asia-and-eastern-europe
Targeting of the Ukrainian Azov Regiment,Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"Turla distributed Android-related malware disguised as an app that contributes to distributed denial of service (DDoS) attacks against Russian websites. However, the application did not conduct DDoS attacks and instead provided Turla access to infected systems.",https://www.cfr.org/cyber-operations/targeting-of-the-ukrainian-azov-regiment
Targeting of St. Petersburg Economic Forum,Sabotage,Ukraine,Russian Federation,attore,,da_estrarre_con_llm,"The Ukrainian IT Army attacked the systems of the St. Petersburg Economic Forum in advance of Russian leader Vladimir Putin’s speech, delaying it for over an hour.",https://www.cfr.org/cyber-operations/targeting-of-st-petersburg-economic-forum
Targeting of media stations such as newspapers and radio stations in Ukraine,Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,The Computer Emergency Response Team of Ukraine (CERT-UA) warned that Sandworm was exploiting the newly discovered Follina vulnerability in Microsoft Office to attack media organizations in the country.,https://www.cfr.org/cyber-operations/targeting-of-media-stations-such-as-newspapers-and-radio-stations-in-ukraine
Targeting of Ukrainian organizations in phishing campaign,Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,APT 28 sent phishing emails masquerading as the Computer Emergency Response Team of Ukraine (CERT-UA) with the subject line “Cyberattack.” The email included a malware-laced attachment enabling APT 28 to gather and steal data.,https://www.cfr.org/cyber-operations/targeting-of-ukrainian-organizations-in-phishing-campaign
Targeting of Russian and Belarusian websites,Denial of service,Ukraine,"Belarus, Russian Federation",attore,,da_estrarre_con_llm,Ukraine’s IT Army compromised Docker Engine honeypots in an attempt to execute distributed denial-of-service (DDoS) attacks against Russian and Belarusian websites.,https://www.cfr.org/cyber-operations/targeting-of-russian-and-belarusian-websites
"Targeting of Ukrainian users of Chrome, Edge, and Firefox browsers",Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"Russian threat actor APT 28 targeted Ukrainian internet users with a new malware variant. The malware was sent to targets via email attachments titled “ua_report.zip.” When executed, the malware enables hackers to steal and exfiltrate cookies and saved passwords from Chrome, Edge, and Firefox browsers.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-users-of-chrome-edge-and-firefox-browsers
"Targeting of government network in Vinnytsia, Ukraine",Sabotage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"APT 28 conducted phishing campaigns targeting the Ukrainian military and government employees. Strontium succeeded in compromising a government network in Vinnytsia, a city in western Ukraine.",https://www.cfr.org/cyber-operations/targeting-of-government-network-in-vinnytsia-ukraine
Targeting of major Ukrainian broadcasting company,Sabotage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,Russian threat actors targeted a major broadcasting company with the DesertBlade wiper. This incident followed the Russian military’s announcement that it would destroy Ukrainian disinformation targets.,https://www.cfr.org/cyber-operations/targeting-of-major-ukrainian-broadcasting-company
Targeting of Ukrainian agricultural firm,Data destruction,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"Sandworm targeted a Ukrainian agricultural firm’s network by placing a file encryptor on its network, leaving it vulnerable to future destruction. Assessments indicate Sandworm intended to disrupt grain production and exports.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-agricultural-firm
Targeting of Ukrainian power stations,Sabotage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"Russian-linked Sandworm hackers targeted high-voltage electrical substations in Ukraine. The attackers used a novel variant of Industroyer malware, dubbed Industroyer2, which interacts with control systems that manage the flow of power. The hackers also deployed multiple strains of wiper malware as part of the attack.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-power-stations
Targeting of Ukrainian organizations,Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"Russian threat actor Gamaredon targeted Ukrainian organizations in a phishing campaign. The hackers sent malicious emails with lures related to the Russia-Ukraine conflict, including attachments labeled “Information on war criminals of the Russian Federation” and “Necessary_military_assistance.” The emails contained malware that allowed Russian operators to conduct espionage.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-organizations
Targeting of Ukrainian telecommunication company’s internet service,Denial of service,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"Russian hackers targeted Ukrainian telecommunication company Ukrtelecom’s internet service, forcing users offline. Whether the malicious activity was a DDoS attack or a more sophisticated intrusion remains unclear. Service was restored fifteen hours after the initial compromise.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-telecommunication-companys-internet-service
Targeting of Ukrainian government officials,Espionage,China,Ukraine,vittima,,da_estrarre_con_llm,The Chinese threat actor Scarab targeted Ukrainian government officials with lure documents used to load HeaderTip malware onto target systems. The lure documents mimic releases from the National Police of Ukraine.,https://www.cfr.org/cyber-operations/targeting-of-ukrainian-government-officials
Targeting of Ukrainian state bodies,Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"Russian APT InvisiMole, which has ties to Gamaredon, conducted a phishing campaign targeting Ukrainian organizations with the LoadEdge backdoor. The backdoor allowed Gamaredon to install surveillance software and other malware onto infected systems.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-state-bodies
Targeting of Ukrainian organizations with CaddyWiper,Sabotage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"Sandworm targeted Ukrainian organizations with CaddyWiper malware, destroying user data hosted on several dozen systems. Evidence suggests Sandworm infiltrated the targets’ networks before installing the wiper.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-organizations-with-caddywiper
Targeting of Ukrainian state entities,Espionage,Belarus,Ukraine,vittima,,da_estrarre_con_llm,"The Belarusian threat actor UNC1151 targeted multiple Ukrainian government agencies with a backdoor called MicroBackdoor. The malware was delivered via phishing emails that included a bait image and files containing malicious code. The backdoor and loader were created in January 2022, before Russia’s invasion of Ukraine.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-state-entities
Targeting of Viasat’s satellite broadband service,Sabotage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"The Russian military intelligence agency, known as GRU, targeted the internet provider Viasat’s satellite modems with a wiper that caused widespread communication outages throughout Ukraine on February 24, the same day Russian forces invaded the country.  The attack caused a loss in military communications at the start of the war and affected other government services. The […]",https://www.cfr.org/cyber-operations/targeting-of-viasats-satellite-broadband-service
Targeting of Moscow Stock Exchange and Sberbank websites,Denial of service,Ukraine,Russian Federation,attore,,da_estrarre_con_llm,Hackers from Ukraine’s IT Army targeted the websites of the Moscow Stock Exchange and Russian lender Sberbank with a DDoS attack. The incident was planned and conducted through posts on Telegram channels and other social media directing thousands of members to attack specified targets.,https://www.cfr.org/cyber-operations/targeting-of-moscow-stock-exchange-and-sberbank-websites
Ukrainian IT Army,Denial of service,Ukraine,"Belarus, Russian Federation",attore,,da_estrarre_con_llm,The Ukrainian IT Army is a threat actor comprised of international and Ukrainian volunteer hackers working in collaboration with officials from Ukraine’s defense ministry to target Russian infrastructure and websites. The IT Army is organized through a Telegram channel where new Russian targets are listed for volunteers to attack.,https://www.cfr.org/cyber-operations/ukrainian-it-army
Targeting of Ukrainian and Polish military personnel,Espionage,"Belarus, Russian Federation","Poland, Ukraine",vittima,,da_estrarre_con_llm,"Belarusian threat actor UNC1151 targeted the private email addresses of Ukrainian soldiers in a phishing attack. UNC1151 hacked the email accounts of military personnel and then leveraged the compromised address books to send further malicious emails, many of which were sent to Polish military personnel.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-and-polish-military-personnel
"Targeting of Latvian, Lithuanian, and Ukrainian computer systems",Data destruction,Russian Federation,"Latvia, Lithuania, Ukraine",vittima,,da_estrarre_con_llm,"Russian threat actors targeted computer systems in Latvia, Lithuania, and Ukraine with a wiper dubbed HermeticWiper. The malware was aimed at Windows devices, corrupting systems’ master boot records, displaying signs of ransomware as a decoy, and destroying stored data. This followed another wiper attack aimed at Ukraine in January.",https://www.cfr.org/cyber-operations/targeting-of-latvian-lithuanian-and-ukrainian-computer-systems
Targeting of Ukrainian government websites,Denial of service,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"Hackers for the Russian military intelligence agency, known as GRU, targeted the websites of the Ukrainian parliament, Ministry of Foreign Affairs, Council of Ministers, and the Security Service of Ukraine with a DDoS attack that took the sites offline for two hours. A destructive wiper attack impacting hundreds of machines in Ukraine was reported simultaneously.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-government-websites
"Targeting of Ukrainian, Latvian, and Lithuanian computer systems",Data destruction,Russian Federation,"Latvia, Lithuania, Ukraine",vittima,,da_estrarre_con_llm,"Russian threat actors targeted computer systems in Ukraine, Latvia, and Lithuania with a HermeticWiper malware attack. The malware was aimed at Windows devices, corrupting systems’ master boot records, displaying signs of ransomware as a decoy, and destroying stored data.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-latvian-and-lithuanian-computer-systems
Targeting of Ukrainian banks and defense ministry,Denial of service,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"Russia targeted the Ukrainian defense ministry website and multiple banks with a DDoS attack, taking their sites offline and halting ATM service in some cases. Ukraine, the United States, and the United Kingdom attributed the attack to Russia, which denied the accusations.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-banks-and-defense-ministry
Targeting of Ukrainian organizations and Western government entity,Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"Russian threat actor Gamaredon used spear-phishing emails and malware to target Ukrainian emergency response, security, and aid distribution organizations. In addition, Gamaredon presumably targeted a Western government entity in Ukraine.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-organizations-and-western-government-entity
Targeting of Ukrainian government websites,Defacement,Belarus,Ukraine,vittima,,da_estrarre_con_llm,"The Ukrainian government accused Russia of defacing several government websites. Ukraine claimed that the cyberattack was intended as a false flag, as it utilized malware from an external ransomware group in an attempt to obfuscate attribution. The move came as Ukraine and Russia were locked in a state of heightened conflict, with the Ukrainian government […]",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-government-websites-2
Targeting of Ukrainian government and information technology (IT) sector systems with WhisperGate malware,Data destruction,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"The Russian Army’s Main Intelligence Directorate (the GRU) used WhisperGate wiper malware on Ukrainian systems on January 13, 2022. The wiper masqueraded as ransomware, offering victims the chance to decrypt their data for a fee, while in reality, the malware wiped the system. The wiper was found on systems throughout Ukraine, including the foreign ministry […]",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-government-and-information-technology-it-sector-systems-with-whispergate-malware
Targeting of Ukrainian naval exercises,Defacement,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,Russian hackers were accused of defacing the Ukrainian Navy’s website and uploading fake documents to spread disinformation about the annual Sea Breeze military exercises.,https://www.cfr.org/cyber-operations/targeting-of-ukrainian-naval-exercises
Targeting of Ukrainian agencies in Russian spear-phishing campaign,Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,Russian hackers targeted Ukrainian officials in a series of spear-phishing attacks to gain access to government servers for espionage purposes.,https://www.cfr.org/cyber-operations/targeting-of-ukrainian-agencies-in-russian-spear-phishing-campaign
Targeting of Ukrainian elected officials by Russian-sponsored hackers,Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"From January 2021 to at least March 2021, Gamaredon, a group associated with Russian intelligence agencies, sent malicious documents to several high-ranking Ukranian officials. The objectives of this spear-phishing campaign are still unclear.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-elected-officials-by-russian-sponsored-hackers
Targeting of classified government data in Ukraine,Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"Unnamed Russian threat actors attempted a large-scale cyber operation to obtain classified government data. However, Ukrainian authorities prevented a breach.",https://www.cfr.org/cyber-operations/targeting-of-classified-government-data-in-ukraine
Targeting of Ukrainian government document management system,Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"Russian threat actor Gamaredon targeted users of the Ukrainian government’s document management system, the System of Electronic Interaction of Executive Bodies (SEIEB), with malware-encrypted documents.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-government-document-management-system
Targeting of Ukrainian web servers,Denial of service,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,Russian threat actors targeted vulnerable web servers of multiple Ukrainian security and defense organizations with a virus that added them to a botnet used to carry out distributed denial of service attacks.,https://www.cfr.org/cyber-operations/targeting-of-ukrainian-web-servers
Take down of EMOTET botnet,Sabotage,"Canada, France, Germany, Lithuania, Netherlands, Ukraine, United Kingdom, United States",,attore,,da_estrarre_con_llm,An international coalition of law enforcement authorities successfully took down notorious criminal botnet EMOTET by taking control of its command-and-control servers.,https://www.cfr.org/cyber-operations/take-down-of-emotet-botnet
"Targeting of entities in India, Kazakhstan, Kyrgyzstan, Malaysia, Russia, and Ukraine",Espionage,China,"India, Kazakhstan, Malaysia, Russian Federation, Ukraine",vittima,,da_estrarre_con_llm,"Chinese hackers distributed SlothfulMedia malware, which modifies files and logs keystrokes. Specific targets have yet to be disclosed.",https://www.cfr.org/cyber-operations/targeting-of-entities-in-india-kazakhstan-kyrgyzstan-malaysia-russia-and-ukraine
Targeting of Ukrainian government organizations,Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,Hackers sent spear-phishing emails to the accounts of officials in various Ukrainian government organizations. The emails contained attachments that downloaded malware when opened.,https://www.cfr.org/cyber-operations/targeting-of-ukrainian-government-organizations
Targeting of Ukraine with coronavirus phishing emails,Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"The Russian hackers Hades (aka APT 28) targeted Ukraine with coronavirus-themed phishing emails. At the same time, viral disinformation about the virus spread in Ukraine, causing riots.",https://www.cfr.org/cyber-operations/targeting-of-ukraine-with-coronavirus-phishing-emails
Intensified attacks against Ukrainian national security targets,Sabotage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,The Russia-aligned threat actor Gamaredon intensified its efforts to compromise Ukrainian defense and intelligence targets. The attacks include both cyberespionage and attempted sabotage of physical assets.,https://www.cfr.org/cyber-operations/intensified-attacks-against-ukrainian-national-security-targets
Targeting of Burisma,Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"The alleged Russian actors hacked Burisma, a Ukrainian gas company whose board Joe Biden’s son sat on. President Trump had previously pressed Ukraine to open an investigation into Biden and Burisma, which led to his impeachment.",https://www.cfr.org/cyber-operations/targeting-of-burisma
Targeting of Ukrainian government entities,Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"Gamaredon, a Russian-speaking APT, targeted Ukrainian government entities from September to November 2019.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-government-entities
Attempt to compromise Ukraine’s judicial system,Espionage,Russian Federation,Ukraine,vittima,2018-12-04,archivio_cfr_2019,Ukraine’s security agency thwarted an attack attempting to target the country’s court system.,https://www.cfr.org/cyber-operations/attempt-to-compromise-ukraines-judicial-system
Compromise of Ukrainian government,Espionage,Russian Federation,Ukraine,vittima,2018-11-20,archivio_cfr_2019,A Russian actor tied to Russia’s Federal Security Service (FSB) targeted Ukrainian government agencies with a backdoor attacker called Pterodo before and during Russia’s seizure of Ukrainian vessels.,https://www.cfr.org/cyber-operations/compromise-of-ukrainian-government
Targeting of a chemical plant in Ukraine,Sabotage,Russian Federation,Ukraine,vittima,2018-07-11,archivio_cfr_2019,A threat actor used a tool called VPNFilter to target a chemical plant in eastern Ukraine that provides chlorine to water- and sewage-treatment plants in that country. Ukraine’s intelligence service claims to have thwarted the incident.,https://www.cfr.org/cyber-operations/targeting-of-a-chemical-plant-in-ukraine
Targeting of financial and chemical organizations in Europe,Espionage,Russian Federation,"France, Germany, Netherlands, Russian Federation, Switzerland, Ukraine",vittima,2018-06-19,archivio_cfr_2019,"A threat actor uses a tool, called Olympics Destroyer, to target financial organizations in Russia and biological and chemical laboratories in Ukraine and other countries in Europe.",https://www.cfr.org/cyber-operations/targeting-of-financial-and-chemical-organizations-in-europe
