titolo,categoria,sponsor_stato,paesi_vittima,ruolo,data_evento,fonte_data_evento,descrizione,link
Alleged Russian compromise of networking equipment,Sabotage,Russian Federation,"Ukraine, United Kingdom, United States",vittima,2018-04-16,archivio_cfr_2019,"The U.S. Department of Homeland Security and the UK National Cyber Security Centre issued a joint alert warning of a Russian state-sponsored campaign to compromise networking equipment, such as routers and switches, to support their cyber operations. A few weeks later, the FBI took control of a botnet with over five hundred thousand compromised devices […]",https://www.cfr.org/cyber-operations/alleged-russian-compromise-of-networking-equipment
Bad Rabbit,Sabotage,Russian Federation,"Bulgaria, Japan, Russian Federation, Turkey, Ukraine",vittima,2017-10-24,archivio_cfr_2019,"Using a tool called Bad Rabbit, a threat actor launched a ransomware operation that encrypted data on networks in Bulgaria, Japan, Russia, Turkey, and Ukraine. The operation is believed to have disrupted the Kiev metro system’s payment network and delayed flights at Odessa’s airport. In October 2018, the United Kingdom attributed this incident to Russian […]",https://www.cfr.org/cyber-operations/bad-rabbit
NotPetya,Data destruction,Russian Federation,"Argentina, Denmark, France, Russian Federation, Ukraine, United Kingdom, United States",vittima,2017-07-01,archivio_cfr_2019,"Threat actors deploy a tool, called NotPetya, with the purpose of encrypting data on victims’ machines and rendering it unusable. The malware was spread through tax software that companies and individuals require for filing taxes in Ukraine. Australia, Estonia, Denmark, Lithuania, Ukraine, the United Kingdom, and the United States issued statements attributing NotPetya to Russian state-sponsored actors. […]",https://www.cfr.org/cyber-operations/notpetya
Operation BugDrop,Espionage,Russian Federation,"Austria, Russian Federation, Saudi Arabia, Ukraine",vittima,2017-02-17,archivio_cfr_2019,"This threat actor targets critical infrastructure entities in the oil and gas sector, primarily in Ukraine. The threat actors deploy the BugDrop malware to remotely access the microphones in their targets’ computers to eavesdrop on conversations.",https://www.cfr.org/cyber-operations/operation-bugdrop
Compromise of a mobile app used by Ukrainian artillery units,Espionage,Russian Federation,Ukraine,vittima,2016-12-22,archivio_cfr_2019,A threat actor compromised a mobile app that Ukrainian artillery units used to assist with targeting. The compromise of the app is believed to have allowed the threat actor to monitor the movements of Ukrainian units in order to facilitate military targeting by Russian-backed rebels in eastern Ukraine.,https://www.cfr.org/cyber-operations/compromise-of-a-mobile-app-used-by-ukrainian-artillery-units
"A compromise causes a power outage in Kiev, Ukraine",Sabotage,Russian Federation,Ukraine,vittima,2016-12-20,archivio_cfr_2019,"A threat actor compromised computer networks that control an electricity substation in the north of the Ukrainian capital, Kiev, causing a power outage. To accomplish its task, the threat actor used a tool known as CrashOverride.",https://www.cfr.org/cyber-operations/a-compromise-causes-a-power-outage-in-kiev-ukraine
Compromise of Ukrainian banks,Data destruction,Russian Federation,Ukraine,vittima,2016-12-13,archivio_cfr_2019,A threat actor compromised Ukrainian banks.,https://www.cfr.org/cyber-operations/compromise-of-ukrainian-banks
Compromise of a power grid in eastern Ukraine,Sabotage,Russian Federation,Ukraine,vittima,2015-12-23,archivio_cfr_2019,"In December 2015, a threat actor compromised power distribution companies in western Ukraine, causing a power outage for more than 230,000 residents. Several control centers were targeted by suspected Russian hackers, who were able to siphon operator credentials and gain access to the power grid for the Ivano-Frankivsk region. The power outage lasted as long […]",https://www.cfr.org/cyber-operations/compromise-of-a-power-grid-in-eastern-ukraine
Gamaredon,Espionage,Russian Federation,Ukraine,vittima,2015-04-28,archivio_cfr_2019,A Russian-linked threat group known as Gamaredon uses custom-developed malware in attacks aimed at Ukraine. The group has been active since at least 2013. Also known as Invisimole.,https://www.cfr.org/cyber-operations/gamaredon
Targeting of Ukrainian law enforcement and government officials,Espionage,Russian Federation,Ukraine,vittima,2015-03-13,archivio_cfr_2019,A threat actor attempted to compromise Ukrainian officials in government and law enforcement for espionage purposes. Ukrainian intelligence claims this was done in support of Russian-backed military activities in eastern Ukraine.,https://www.cfr.org/cyber-operations/targeting-of-ukrainian-law-enforcement-and-government-officials
Attempted compromise of Ukrainian email accounts,Espionage,Russian Federation,Ukraine,vittima,2014-12-09,archivio_cfr_2019,A threat actor attempted to compromise email accounts in Ukraine for espionage purposes.,https://www.cfr.org/cyber-operations/attempted-compromise-of-ukrainian-email-accounts
Crouching Yeti,Espionage,Russian Federation,"China, France, Germany, Greece, Ireland, Italy, Japan, Poland, Russian Federation, Spain, Turkey, Ukraine, United Kingdom, United States",vittima,2014-07-31,archivio_cfr_2019,"Also known as Bromine. This threat actor targets companies in the education, energy, construction, information technology, and pharmaceutical sectors for the purposes of espionage. It uses malware tailored to target industrial control systems.",https://www.cfr.org/cyber-operations/crouching-yeti
