year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2018,103,Dem. People's Rep. of Korea,KRN,PRK,-,-,-,-,797,146,0,0,0,0,0,-,0
2019,103,Dem. People's Rep. of Korea,KRN,PRK,-,-,-,-,758,112,0,0,0,0,0,-,0
2020,103,Dem. People's Rep. of Korea,KRN,PRK,-,-,-,-,689,88,0,0,0,0,0,-,0
2021,103,Dem. People's Rep. of Korea,KRN,PRK,-,-,-,-,528,108,0,0,0,0,0,-,0
2022,103,Dem. People's Rep. of Korea,KRN,PRK,-,-,-,-,267,127,0,0,0,0,0,-,0
2023,103,Dem. People's Rep. of Korea,KRN,PRK,-,-,-,-,239,96,0,0,0,0,0,-,0
2024,103,Dem. People's Rep. of Korea,KRN,PRK,-,-,-,-,283,105,0,0,0,0,0,-,0
