PERIODO,EVENTS
2018-Q1,99
2018-Q2,156
2018-Q3,119
2018-Q4,109
2019-Q1,32
2019-Q2,25
2019-Q3,28
2019-Q4,48
2020-Q1,63
2020-Q2,62
2020-Q3,66
2020-Q4,431
2021-Q1,482
2021-Q2,194
2021-Q3,440
2021-Q4,451
2022-Q1,288
2022-Q2,295
2022-Q3,357
2022-Q4,339
2023-Q1,193
2023-Q2,223
2023-Q3,481
2023-Q4,500
2024-Q1,584
2024-Q2,700
2024-Q3,658
2024-Q4,633
