event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2018-04-25,2018,Protests,Peaceful protest,Protesters (Ethiopia),,Ethiopia,Somali,"Protests took place in five towns namely Afdem, Bike, Erer, Shinile and Hadhagala district, Sitti zone of the Somali region for four consecutive days (24-27 April). Protesters denounced the regional state's maladministration, accusing the president of the regional state Abdi Illey of endemic nepotism and corruption.",0,2018-Q2
2018-04-25,2018,Protests,Peaceful protest,Protesters (Ethiopia),,Ethiopia,Somali,"Protests took place in five towns namely Afdem, Biki, Erer, Shinile and Hadhagala district, Sitti zone of the Somali region for four consecutive days (24-27 April). Protesters denounced the regional state's maladministration, accusing the president of the regional state Abdi Illey of endemic nepotism and corruption.",0,2018-Q2
2018-04-25,2018,Protests,Peaceful protest,Protesters (Ethiopia),,Ethiopia,Somali,"Protests took place in five towns namely Afdem, Bike, Erer, Shinile and Hadhagala district, Sitti zone of the Somali region for four consecutive days (24-27 April). Protesters denounced the regional state's maladministration, accusing the president of the regional state Abdi Illey of endemic nepotism and corruption.",0,2018-Q2
2018-04-26,2018,Protests,Peaceful protest,Protesters (Ethiopia),,Ethiopia,Somali,"Protests took place in five towns namely Afdem, Bike, Erer, Shinile and Hadhagala district, Sitti zone of the Somali region for four consecutive days (24-27 April). Protesters denounced the regional state's maladministration, accusing the president of the regional state Abdi Illey of endemic nepotism and corruption.",0,2018-Q2
2018-04-26,2018,Protests,Peaceful protest,Protesters (Ethiopia),,Ethiopia,Somali,"Protests took place in five towns namely Afdem, Biki, Erer, Shinile and Hadhagala district, Sitti zone of the Somali region for four consecutive days (24-27 April). Protesters denounced the regional state's maladministration, accusing the president of the regional state Abdi Illey of endemic nepotism and corruption.",0,2018-Q2
2018-04-26,2018,Protests,Peaceful protest,Protesters (Ethiopia),,Ethiopia,Somali,"Protests took place in five towns namely Afdem, Bike, Erer, Shinile and Hadhagala district, Sitti zone of the Somali region for four consecutive days (24-27 April). Protesters denounced the regional state's maladministration, accusing the president of the regional state Abdi Illey of endemic nepotism and corruption.",0,2018-Q2
2018-04-27,2018,Protests,Protest with intervention,Protesters (Ethiopia),Police Forces of Ethiopia (2018-),Ethiopia,Somali,"Protests took place in five towns namely Afdem, Bike, Erer, Shinile and Hadhagala district, Sitti zone of the Somali region for four consecutive days (24-27 April). Protesters denounced the regional state's maladministration, accusing the president of the regional state Abdi Illey of endemic nepotism and corruption. On 27 April, over 50 protesters were arrested in Shinelle for wearing t-shirts with photos of the newly elected Prime Minister, Abiy Ahmed.",0,2018-Q2
2018-04-27,2018,Protests,Peaceful protest,Protesters (Ethiopia),,Ethiopia,Somali,"Protests took place in five towns namely Afdem, Biki, Erer, Shinile and Hadhagala district, Sitti zone of the Somali region for four consecutive days (24-27 April). Protesters denounced the regional state's maladministration, accusing the president of the regional state Abdi Illey of endemic nepotism and corruption.",0,2018-Q2
2018-04-27,2018,Protests,Peaceful protest,Protesters (Ethiopia),,Ethiopia,Somali,"Protests took place in five towns namely Afdem, Bike, Erer, Shinile and Hadhagala district, Sitti zone of the Somali region for four consecutive days (24-27 April). Protesters denounced the regional state's maladministration, accusing the president of the regional state Abdi Illey of endemic nepotism and corruption.",0,2018-Q2
2018-06-27,2018,Protests,Excessive force against protesters,Protesters (Ethiopia),Police Forces of Ethiopia (2018-),Ethiopia,Benshangul/Gumuz,"On or around 27 June, police shot and killed non-locals (Amhara/Oromo groups) who were holding a counter-protest against the attacks by the Bertas in Asosa, Benishangul region. A total of 14 people were reported killed in violence in Asosa over 25-27 June, including one on the first day and seven on the second. & remaining fatalities spread over two events on 27 June.",3,2018-Q2
