year,coa_name,refugees
2018,Somalia,12450
2018,Djibouti,4694
2018,Germany,1809
2019,Somalia,13235
2019,Djibouti,5322
2019,Germany,2629
2020,Somalia,6371
2020,Djibouti,5666
2020,Germany,3039
2021,Somalia,8341
2021,Djibouti,6232
2021,Germany,3082
2022,Somalia,9877
2022,Netherlands (Kingdom of the),4597
2022,Germany,3757
2023,Somalia,10995
2023,Netherlands (Kingdom of the),7347
2023,Germany,4794
2024,Somalia,12332
2024,Netherlands (Kingdom of the),7841
2024,Germany,5043
