year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2018,211,Yemen,YEM,YEM,-,-,-,-,31145,35876,0,2144719,133600,0,0,-,0
2019,211,Yemen,YEM,YEM,-,-,-,-,36522,34328,5,3625716,69174,0,49,-,0
2020,211,Yemen,YEM,YEM,-,-,-,-,32433,34870,0,4002012,10788,0,28,-,0
2021,211,Yemen,YEM,YEM,-,-,-,-,37615,35462,219,4288739,0,0,23,-,0
2022,211,Yemen,YEM,YEM,-,-,-,-,40147,33524,7,4523022,0,0,28,-,0
2023,211,Yemen,YEM,YEM,-,-,-,-,48044,33521,11,4516341,0,0,24,-,0
2024,211,Yemen,YEM,YEM,-,-,-,-,51384,32810,23,4795983,0,0,21,-,0
