year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2018,94,Italy,ITA,ITA,-,-,-,-,69,381,0,0,0,0,0,-,0
2019,94,Italy,ITA,ITA,-,-,-,-,76,431,0,0,0,0,0,-,0
2020,94,Italy,ITA,ITA,-,-,-,-,62,471,0,0,0,0,0,-,0
2021,94,Italy,ITA,ITA,-,-,-,-,61,639,0,0,0,0,0,-,0
2022,94,Italy,ITA,ITA,-,-,-,-,151,670,0,0,0,0,0,-,0
2023,94,Italy,ITA,ITA,-,-,-,-,124,1487,0,0,0,0,0,-,0
2024,94,Italy,ITA,ITA,-,-,-,-,263,1857,5,0,0,0,0,-,0
