year,coa_name,refugees
2018,Germany,27
2018,United States of America,22
2018,Sweden,5
2019,Germany,34
2019,United States of America,22
2019,Canada,5
2020,Germany,30
2020,United States of America,17
2020,Canada,5
2021,Germany,31
2021,United States of America,9
2021,Switzerland,6
2022,Germany,44
2022,Rep. of Moldova,35
2022,United States of America,18
2023,Germany,48
2023,Canada,24
2023,United States of America,18
2024,Canada,121
2024,Germany,53
2024,United States of America,18
