year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2018,102,Rep. of Korea,KOR,KOR,-,-,-,-,274,536,0,0,0,0,0,-,0
2019,102,Rep. of Korea,KOR,KOR,-,-,-,-,180,643,0,0,0,0,0,-,0
2020,102,Rep. of Korea,KOR,KOR,-,-,-,-,146,723,0,0,0,0,0,-,0
2021,102,Rep. of Korea,KOR,KOR,-,-,-,-,117,893,0,0,0,0,0,-,0
2022,102,Rep. of Korea,KOR,KOR,-,-,-,-,132,880,0,0,0,0,0,-,0
2023,102,Rep. of Korea,KOR,KOR,-,-,-,-,107,939,0,0,0,0,0,-,0
2024,102,Rep. of Korea,KOR,KOR,-,-,-,-,142,1089,0,0,0,0,0,-,0
