year,coa_name,refugees
2018,Canada,98
2018,Germany,86
2018,Australia,40
2019,Canada,58
2019,Australia,37
2019,United States of America,32
2020,Canada,46
2020,Australia,28
2020,United States of America,27
2021,Canada,33
2021,Australia,24
2021,Germany,22
2022,Germany,37
2022,Australia,22
2022,United States of America,21
2023,Germany,37
2023,United States of America,21
2023,Canada,15
2024,Canada,44
2024,Germany,32
2024,United States of America,21
