PERIODO,EVENTS
2018-Q1,2580
2018-Q2,3581
2018-Q3,3169
2018-Q4,4048
2019-Q1,3598
2019-Q2,4065
2019-Q3,3379
2019-Q4,3841
2020-Q1,3505
2020-Q2,3047
2020-Q3,1034
2020-Q4,867
2021-Q1,1259
2021-Q2,2047
2021-Q3,1798
2021-Q4,2193
2022-Q1,4418
2022-Q2,8842
2022-Q3,14285
2022-Q4,12317
2023-Q1,13018
2023-Q2,14158
2023-Q3,14664
2023-Q4,12904
2024-Q1,12672
2024-Q2,11860
2024-Q3,14093
2024-Q4,14591
